Unnamed: 0,TEN,JAX
First Downs,13,20
Rush-Yds-TDs,13-43-0,47-163-1
Cmp-Att-Yd-TD-INT,21-34-263-2-1,17-24-175-0-0
Sacked-Yards,2-14,2-15
Net Pass Yards,249,160
Total Yards,292,323
Fumbles-Lost,1-0,2-1
Turnovers,1,1
Penalties-Yards,7-60,5-39
Third Down Conv.,4-11,9-18
Fourth Down Conv.,0-0,0-0
Time of Possession,20:22,39:38
