Unnamed: 0,SEA,TAM
First Downs,10,22
Rush-Yds-TDs,28-90-2,26-208-0
Cmp-Att-Yd-TD-INT,14-22-90-0-0,23-28-252-5-0
Sacked-Yards,3-6,2-21
Net Pass Yards,84,231
Total Yards,174,439
Fumbles-Lost,0-0,4-0
Turnovers,0,0
Penalties-Yards,1-10,3-22
Third Down Conv.,5-15,6-11
Fourth Down Conv.,2-2,0-0
Time of Possession,28:32,31:28
