Quarter,Time,Tm,Detail,DAL,NYG
1.0,5:25,Cowboys,Dan Bailey 30 yard field goal,3,0
2.0,11:02,Giants,Orleans Darkwa 15 yard rush (Josh Brown kick),3,7
,7:29,Cowboys,Dan Bailey 48 yard field goal,6,7
,2:17,Cowboys,Darren McFadden 1 yard rush (Dan Bailey kick),13,7
,1:04,Giants,Josh Brown 47 yard field goal,13,10
3.0,11:19,Giants,Dominique Rodgers-Cromartie 58 yard interception return (Josh Brown kick),13,17
,3:18,Giants,Josh Brown 34 yard field goal,13,20
4.0,7:14,Cowboys,Devin Street 25 yard pass from Matt Cassel (Dan Bailey kick),20,20
,7:01,Giants,Dwayne Harris 100 yard kickoff return (Josh Brown kick),20,27
