Unnamed: 0,DAL,NYG
First Downs,27,13
Rush-Yds-TDs,41-233-1,25-132-1
Cmp-Att-Yd-TD-INT,17-27-227-1-3,13-24-170-0-0
Sacked-Yards,1-0,2-13
Net Pass Yards,227,157
Total Yards,460,289
Fumbles-Lost,1-1,0-0
Turnovers,4,0
Penalties-Yards,7-46,3-13
Third Down Conv.,6-11,3-11
Fourth Down Conv.,0-1,0-0
Time of Possession,38:04,21:56
