Unnamed: 0,SFO,SEA
First Downs,19,21
Rush-Yds-TDs,29-111-2,34-147-1
Cmp-Att-Yd-TD-INT,16-27-168-0-0,17-27-207-1-1
Sacked-Yards,4-18,4-21
Net Pass Yards,150,186
Total Yards,261,333
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,6-33,8-105
Third Down Conv.,5-12,8-15
Fourth Down Conv.,0-0,0-0
Time of Possession,27:34,32:26
