Quarter,Time,Tm,Detail,LAR,ARI
1.0,9:56,Rams,Greg Zuerlein 27 yard field goal,3,0
2.0,14:17,Rams,Tyler Higbee 2 yard pass from Jared Goff (Greg Zuerlein kick),10,0
,2:41,Rams,Todd Gurley 1 yard rush (Greg Zuerlein kick),17,0
,0:00,Rams,Greg Zuerlein 33 yard field goal,20,0
3.0,8:44,Rams,Cooper Kupp 10 yard pass from Jared Goff (Greg Zuerlein kick),27,0
,8:28,Rams,Taylor Rapp 31 yard interception return (Greg Zuerlein kick),34,0
4.0,8:35,Cardinals,Kyler Murray 15 yard rush (Zane Gonzalez kick),34,7
