Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAR 25,0,0,Jared Goff pass complete short right to Robert Woods for 6 yards (tackle by Patrick Peterson),0.610,0.870
1,14:21,2,4,LAR 31,0,0,Jared Goff pass complete short left to Robert Woods for 25 yards (tackle by Jalen Thompson),0.870,2.650
1,13:46,1,10,ARI 44,0,0,Todd Gurley left tackle for 1 yard (tackle by Rodney Gunter),2.650,2.250
1,13:12,2,9,ARI 43,0,0,Jared Goff pass complete short left to Robert Woods for 14 yards,2.250,3.640
1,12:35,1,10,ARI 29,0,0,Jared Goff pass complete short right to Josh Reynolds for 9 yards (tackle by Patrick Peterson),3.640,4.320
1,12:01,2,1,ARI 20,0,0,Todd Gurley up the middle for 7 yards (tackle by Budda Baker),4.320,4.710
1,11:22,1,10,ARI 13,0,0,Jared Goff pass complete short left to Tyler Higbee for 3 yards (tackle by Tramaine Brock),4.710,4.580
1,10:45,2,7,ARI 10,0,0,Jared Goff pass incomplete short middle intended for Robert Woods,4.580,3.650
1,10:41,3,7,ARI 10,0,0,Jared Goff pass complete short right to Robert Woods for 1 yard (tackle by Jordan Hicks and Jalen Thompson),3.650,2.850
1,10:00,4,6,ARI 9,3,0,Greg Zuerlein 27 yard field goal good,2.850,3.000
1,9:56,,,LAR 35,3,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,9:56,1,10,ARI 25,3,0,Kenyan Drake up the middle for 1 yard (tackle by Troy Reeder),0.610,0.200
1,9:36,2,9,ARI 26,3,0,Kenyan Drake right end for 4 yards (tackle by Cory Littleton),0.200,0.040
1,9:07,3,5,ARI 30,3,0,Kyler Murray pass incomplete short left intended for Damiere Byrd,0.040,-1.370
1,9:03,4,5,ARI 30,3,0,"Andy Lee punts 42 yards, returned by Jojo Natson for 6 yards (tackle by Chris Banjo)",-1.370,-1.200
1,8:51,1,10,LAR 34,3,0,Jared Goff pass complete short right to Todd Gurley for 20 yards (tackle by Patrick Peterson),1.200,2.520
1,8:15,1,10,ARI 46,3,0,Jared Goff pass complete deep right to Tyler Higbee for 21 yards,2.520,3.910
1,7:40,1,10,ARI 25,3,0,Jared Goff pass incomplete short middle intended for Johnny Mundt,3.910,3.360
1,7:35,2,10,ARI 25,3,0,Todd Gurley up the middle for 7 yards (tackle by Budda Baker and Patrick Peterson),3.360,3.660
1,6:52,3,3,ARI 18,3,0,Jared Goff pass complete short left to Robert Woods for no gain (tackle by Jalen Thompson),3.660,2.350
1,6:14,4,3,ARI 18,3,0,"Penalty on David Edwards: False Start, 5 yards (no play)",2.350,1.930
1,5:59,4,8,ARI 23,3,0,Greg Zuerlein 41 yard field goal no good,1.930,-1.000
1,5:55,1,10,ARI 31,3,0,Kyler Murray pass complete short right to Charles Clay for 23 yards (tackle by Troy Reeder and Troy Hill),1.000,2.520
1,5:22,1,10,LAR 46,3,0,Kenyan Drake up the middle for 3 yards (tackle by Cory Littleton),2.520,2.380
1,4:50,2,7,LAR 43,3,0,David Johnson up the middle for 2 yards (tackle by Cory Littleton and Greg Gaines),2.380,1.950
1,4:10,3,5,LAR 41,3,0,Kyler Murray sacked by Dante Fowler for -12 yards,1.950,-0.260
1,3:27,4,17,ARI 47,3,0,"Andy Lee punts 34 yards, fair catch by Jojo Natson at LA-19",-0.260,-0.150
1,3:19,1,10,LAR 19,3,0,Jared Goff pass incomplete short left intended for Robert Woods,0.150,-0.390
1,3:15,2,10,LAR 19,3,0,Jared Goff pass complete deep middle to Robert Woods for 19 yards (tackle by Byron Murphy),-0.390,1.470
1,2:53,1,10,LAR 38,3,0,Jared Goff pass complete short right to Tyler Higbee for 26 yards (tackle by Tramaine Brock),1.470,3.180
1,2:34,1,10,ARI 36,3,0,"Jared Goff pass complete short middle to Todd Gurley for 8 yards (tackle by Joe Walker). Penalty on David Edwards: Offensive Holding, 10 yards (no play)",3.180,2.520
1,2:06,1,20,ARI 46,3,0,Todd Gurley left tackle for 6 yards (tackle by Rodney Gunter),2.520,2.100
1,1:27,2,14,ARI 40,3,0,Jared Goff pass complete short right to Robert Woods for 11 yards (tackle by Cassius Marsh),2.100,2.870
1,0:42,,,,,,Timeout #1 by Los Angeles Rams,,
1,0:42,3,3,ARI 29,3,0,Jared Goff pass complete short left to Cooper Kupp for 14 yards (tackle by Tramaine Brock),2.870,4.580
1,0:02,1,10,ARI 15,3,0,Todd Gurley up the middle for 11 yards (tackle by Patrick Peterson and Budda Baker),4.580,6.280
Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,4,ARI 4,3,0,Todd Gurley up the middle for no gain (tackle by Zach Kerr),6.280,5.340
2,14:30,2,4,ARI 4,3,0,"Jared Goff pass incomplete short middle intended for Johnny Mundt. Penalty on Rodney Gunter: Roughing the Passer, 2 yards (no play)",5.340,6.740
2,14:25,1,2,ARI 2,3,0,Jared Goff pass incomplete short right intended for Tyler Higbee,6.740,5.720
2,14:22,2,2,ARI 2,9,0,"Jared Goff pass complete short left to Tyler Higbee for 2 yards, touchdown",5.720,7.000
2,14:17,,,ARI 15,10,0,Greg Zuerlein kicks extra point good,0.000,0.000
2,14:17,,,LAR 35,10,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,14:17,1,10,ARI 25,10,0,Kyler Murray pass incomplete short left intended for Damiere Byrd (defended by Dante Fowler),0.610,0.060
2,14:13,2,10,ARI 25,10,0,Kyler Murray pass complete short left to Kenyan Drake for 15 yards (tackle by Cory Littleton),0.060,1.600
2,14:03,1,10,ARI 40,10,0,Kyler Murray pass incomplete short right intended for Pharoh Cooper,1.600,1.050
2,13:57,2,10,ARI 40,10,0,Kyler Murray pass complete short right to Larry Fitzgerald for 18 yards (tackle by Taylor Rapp),1.050,2.790
2,13:18,1,10,LAR 42,10,0,Kyler Murray sacked by Aaron Donald for -7 yards,2.790,1.300
2,12:39,2,17,LAR 49,10,0,Kyler Murray pass complete short middle to Charles Clay for 6 yards (tackle by Taylor Rapp and Sebastian Joseph),1.300,1.420
2,11:56,3,11,LAR 43,10,0,"Penalty on D.J. Humphries: False Start, 5 yards (no play)",1.420,0.760
2,11:39,3,16,LAR 48,10,0,Kyler Murray pass complete short right to Kenyan Drake for 5 yards (tackle by Eric Weddle and Troy Hill),0.760,0.400
2,11:01,4,11,LAR 43,10,0,Andy Lee punts 39 yards downed by Dennis Gardeck,0.400,0.380
2,10:53,1,10,LAR 4,10,0,Jared Goff pass incomplete short left intended for Robert Woods,-0.380,-0.780
2,10:48,2,10,LAR 4,10,0,Todd Gurley left end for 7 yards (tackle by Tramaine Brock),-0.780,-0.600
2,10:13,3,3,LAR 11,10,0,Jared Goff pass complete short middle to Tyler Higbee for 25 yards (tackle by Budda Baker),-0.600,1.330
2,9:24,1,10,LAR 36,10,0,Malcolm Brown right tackle for 1 yard (tackle by Joe Walker),1.330,0.930
2,8:58,2,9,LAR 37,10,0,Jared Goff sacked by and Jonathan Bullard for -10 yards and Chandler Jones for -10 yards,0.930,-1.090
2,8:16,3,19,LAR 27,10,0,Malcolm Brown left tackle for 9 yards (tackle by Jordan Hicks),-1.090,-0.980
2,7:31,4,10,LAR 36,10,0,"Johnny Hekker punts 44 yards, returned by Pharoh Cooper for 5 yards (tackle by Donte Deayon)",-0.980,-0.610
2,7:19,1,10,ARI 25,10,0,Kyler Murray left end for 5 yards (tackle by Troy Hill),0.610,0.740
2,6:42,2,5,ARI 30,10,0,Kenyan Drake up the middle for 3 yards (tackle by Troy Reeder),0.740,0.430
2,6:08,3,2,ARI 33,10,0,Kyler Murray pass incomplete short right intended for Kenyan Drake (defended by Taylor Rapp),0.430,-1.180
2,6:03,4,2,ARI 33,10,0,"Andy Lee punts 49 yards, fair catch by Jojo Natson at LA-18",-1.180,-0.040
2,5:55,1,10,LAR 18,10,0,Todd Gurley right end for 8 yards (tackle by Budda Baker),0.040,0.680
2,5:19,2,2,LAR 26,10,0,Todd Gurley up the middle for 3 yards (tackle by Chandler Jones),0.680,0.870
2,4:47,1,10,LAR 29,10,0,Jared Goff pass complete deep middle to Josh Reynolds for 20 yards (tackle by Jalen Thompson),0.870,2.190
2,4:03,1,10,LAR 49,10,0,Jared Goff pass complete short left to Robert Woods for 18 yards (tackle by Budda Baker),2.190,3.380
2,3:20,1,10,ARI 33,10,0,Jared Goff pass complete short middle to Tyler Higbee for 21 yards (tackle by Jalen Thompson),3.380,4.780
2,2:57,1,10,ARI 12,10,0,Todd Gurley left end for 11 yards (tackle by Tramaine Brock),4.780,6.970
2,2:48,1,1,ARI 1,16,0,"Todd Gurley up the middle for 1 yard, touchdown",6.970,7.000
2,2:41,,,ARI 15,17,0,Greg Zuerlein kicks extra point good,0.000,0.000
2,2:41,,,LAR 35,17,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,2:41,1,10,ARI 25,17,0,Kyler Murray sacked by Cory Littleton for -11 yards,0.610,-1.540
2,2:30,,,,,,Timeout #2 by Los Angeles Rams,,
2,2:30,2,21,ARI 14,17,0,Kenyan Drake up the middle for -1 yards (tackle by Dante Fowler and Clay Matthews),-1.540,-2.750
2,2:25,,,,,,Timeout #3 by Los Angeles Rams,,
2,2:25,3,22,ARI 13,17,0,Kenyan Drake up the middle for 9 yards (tackle by Travin Howard),-2.750,-1.900
2,2:00,4,13,ARI 22,17,0,"Andy Lee punts 56 yards, fair catch by Jojo Natson at LA-22",-1.900,-0.410
2,1:53,1,10,LAR 22,17,0,Malcolm Brown up the middle for 3 yards (tackle by Jordan Hicks and Rodney Gunter),0.410,0.270
2,1:32,2,7,LAR 25,17,0,Jared Goff pass complete short left to Cooper Kupp for 2 yards (tackle by Byron Murphy),0.270,-0.160
2,1:28,3,5,LAR 27,17,0,Jared Goff pass complete deep left to Cooper Kupp for 27 yards (tackle by Budda Baker),-0.160,2.520
2,1:20,1,10,ARI 46,17,0,Jared Goff pass complete short right to Tyler Higbee for 9 yards (tackle by Jordan Hicks),2.520,3.190
2,1:03,2,1,ARI 37,17,0,Jared Goff pass complete short left to Cooper Kupp for 5 yards (tackle by Tramaine Brock),3.190,3.450
2,0:47,1,10,ARI 32,17,0,Jared Goff pass incomplete short left intended for Malcolm Brown,3.450,2.900
