Unnamed: 0,LAR,ARI
First Downs,27,13
Rush-Yds-TDs,30-132-1,21-74-1
Cmp-Att-Yd-TD-INT,33-45-427-2-0,19-34-163-0-1
Sacked-Yards,1-10,6-39
Net Pass Yards,417,124
Total Yards,549,198
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,8-81,2-7
Third Down Conv.,8-15,2-13
Fourth Down Conv.,0-1,2-4
Time of Possession,34:37,25:23
