Unnamed: 0,DAL,MIN
First Downs,23,16
Rush-Yds-TDs,40-151-2,17-73-0
Cmp-Att-Yd-TD-INT,26-30-307-2-0,17-30-159-0-0
Sacked-Yards,0-0,7-49
Net Pass Yards,307,110
Total Yards,458,183
Fumbles-Lost,1-0,2-1
Turnovers,0,1
Penalties-Yards,6-39,7-59
Third Down Conv.,12-17,1-11
Fourth Down Conv.,0-0,0-0
Time of Possession,37:24,22:36
