Unnamed: 0,BUF,IND
First Downs,16,22
Rush-Yds-TDs,23-135-0,29-87-0
Cmp-Att-Yd-TD-INT,17-33-180-1-1,20-37-240-1-1
Sacked-Yards,2-11,4-15
Net Pass Yards,169,225
Total Yards,304,312
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,4-46,6-37
Third Down Conv.,4-13,8-16
Fourth Down Conv.,0-0,0-0
Time of Possession,28:22,31:38
