Quarter,Time,Tm,Detail,BUF,IND
1.0,9:56,Colts,T.Y. Hilton 75 yard punt return (Adam Vinatieri kick),0,7
,4:28,Bills,Rian Lindell 33 yard field goal,3,7
2.0,4:08,Colts,Adam Vinatieri 25 yard field goal,3,10
,2:16,Bills,Rian Lindell 31 yard field goal,6,10
,0:00,Colts,Adam Vinatieri 19 yard field goal,6,13
3.0,4:02,Colts,T.Y. Hilton 8 yard pass from Andrew Luck (Adam Vinatieri kick),6,20
4.0,11:30,Bills,Lee Smith 1 yard pass from Ryan Fitzpatrick (Rian Lindell kick),13,20
