Unnamed: 0,NYG,DAL
First Downs,11,25
Rush-Yds-TDs,19-91-0,38-92-0
Cmp-Att-Yd-TD-INT,14-29-215-1-1,26-37-312-1-1
Sacked-Yards,4-36,3-19
Net Pass Yards,179,293
Total Yards,270,385
Fumbles-Lost,3-3,3-3
Turnovers,4,4
Penalties-Yards,6-32,6-44
Third Down Conv.,1-11,9-16
Fourth Down Conv.,1-1,0-0
Time of Possession,23:01,40:46
