Quarter,Time,Tm,Detail,NYG,DAL
1,10:36,Giants,Jay Feely 50 yard field goal,3,0
2,8:42,Giants,Jay Feely 45 yard field goal,6,0
,0:40,Cowboys,Jason Witten 2 yard pass from Drew Bledsoe (Jose Cortez kick),6,7
4,12:44,Cowboys,Jose Cortez 29 yard field goal,6,10
,4:40,Cowboys,Jose Cortez 28 yard field goal,6,13
,0:19,Giants,Jeremy Shockey 24 yard pass from Eli Manning (Jay Feely kick),13,13
OT,11:13,Cowboys,Jose Cortez 45 yard field goal,13,16
