Quarter,Time,Tm,Detail,NYJ,CLE
2,11:04,Browns,Aaron Shea 3 yard pass from Jeff Garcia (Phil Dawson kick),0,7
3,9:06,Jets,Doug Brien 41 yard field goal,3,7
4,5:32,Jets,Justin McCareins 11 yard pass from Quincy Carter (Doug Brien kick),10,7
