Unnamed: 0,NYJ,CLE
First Downs,17,13
Rush-Yds-TDs,39-157-0,27-99-0
Cmp-Att-Yd-TD-INT,11-20-116-1-1,14-27-120-1-0
Sacked-Yards,6-38,1-3
Net Pass Yards,78,117
Total Yards,235,216
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,5-50,7-40
Third Down Conv.,2-14,2-13
Fourth Down Conv.,0-0,0-0
Time of Possession,32:56,27:04
