Unnamed: 0,CAR,ATL
First Downs,18,21
Rush-Yds-TDs,20-155-1,30-77-1
Cmp-Att-Yd-TD-INT,17-30-142-0-0,23-30-306-1-0
Sacked-Yards,2-29,2-10
Net Pass Yards,113,296
Total Yards,268,373
Fumbles-Lost,1-1,2-1
Turnovers,1,1
Penalties-Yards,4-40,3-20
Third Down Conv.,4-10,9-15
Fourth Down Conv.,0-1,0-0
Time of Possession,24:22,35:38
