Unnamed: 0,BAL,NYG
First Downs,18,22
Rush-Yds-TDs,26-121-0,33-207-2
Cmp-Att-Yd-TD-INT,20-33-164-1-2,13-23-153-1-1
Sacked-Yards,1-10,1-7
Net Pass Yards,154,146
Total Yards,275,353
Fumbles-Lost,1-0,0-0
Turnovers,2,1
Penalties-Yards,10-66,8-65
Third Down Conv.,5-12,6-10
Fourth Down Conv.,1-2,0-0
Time of Possession,29:08,30:52
