Quarter,Time,Down,ToGo,Location,BAL,NYG,Detail,EPB,EPA
2,13:54,1,10,NYG 10,0,13,Derrick Ward right end for 2 yards (tackle by Jim Leonhard and Bart Scott),-0.380,-0.630
2,13:12,2,8,NYG 12,0,13,Eli Manning pass complete short right to Derrick Ward for 19 yards (tackle by Ed Reed),-0.630,1.000
2,12:46,1,10,NYG 31,0,13,Derrick Ward right tackle for 22 yards (tackle by Jim Leonhard),1.000,2.460
2,12:01,1,10,BAL 47,0,13,Ahmad Bradshaw right tackle for 2 yards (tackle by Ray Lewis and Marques Douglas),2.460,2.180
2,11:20,2,8,BAL 45,0,13,Eli Manning pass complete short right to Amani Toomer for 9 yards (tackle by Fabian Washington),2.180,3.180
2,10:50,1,10,BAL 36,0,13,Eli Manning pass incomplete deep right intended for Kevin Boss,3.180,2.640
2,10:44,2,10,BAL 36,0,13,Eli Manning pass complete short right to Plaxico Burress for 15 yards (tackle by Ray Lewis),2.640,4.170
2,10:14,1,10,BAL 21,0,13,Derrick Ward left end for 6 yards (tackle by Terrell Suggs),4.170,4.550
2,9:29,2,4,BAL 15,0,13,Eli Manning pass complete short left to Derrick Ward for 8 yards (tackle by Haloti Ngata),4.550,5.600
2,8:48,1,7,BAL 7,0,13,"Eli Manning pass incomplete short left intended for Plaxico Burress. Penalty on Samari Rolle: Defensive Pass Interfere, 6 yards (no play)",5.600,6.970
2,8:39,1,1,BAL 1,0,13,Derrick Ward middle for no gain (tackle by Justin Bannan and Ray Lewis),6.970,5.910
2,7:58,2,1,BAL 1,0,13,Derrick Ward left tackle for no gain (tackle by Justin Bannan and Ray Lewis),5.910,5.170
2,7:20,3,1,BAL 1,0,19,"Eli Manning pass complete short left to Darcy Johnson for 1 yard, touchdown",5.170,7.000
2,,,,BAL 2,0,20,Lawrence Tynes kicks extra point good,0.000,0.000
2,,,,NYG 30,0,20,Lawrence Tynes kicks off 40 yards,0.000,1.600
2,7:14,1,10,BAL 40,0,20,Mark Clayton right end for 17 yards (tackle by Kenny Phillips),1.600,2.720
2,6:40,1,10,NYG 43,0,20,Willis McGahee middle for 3 yards (tackle by Barry Cofield and Fred Robbins),2.720,2.580
2,6:05,2,7,NYG 40,0,20,Joe Flacco pass complete short right to Derrick Mason for 15 yards (tackle by Aaron Ross),2.580,3.910
2,5:31,1,10,NYG 25,0,20,"Penalty on Willis McGahee: False Start, 5 yards (no play)",3.910,3.580
2,5:07,1,15,NYG 30,0,20,Joe Flacco pass incomplete deep left intended for Todd Heap,3.580,2.690
2,5:00,2,15,NYG 30,0,20,Joe Flacco pass complete short left to Mark Clayton for 10 yards (tackle by Corey Webster),2.690,3.340
2,4:20,3,5,NYG 20,0,20,Joe Flacco pass incomplete deep middle intended for Derrick Mason,3.340,2.170
2,4:13,4,5,NYG 20,3,20,Matt Stover 38 yard field goal good,2.170,3.000
2,,,,BAL 30,3,20,"Steven Hauschka kicks off 71 yards, returned by Ahmad Bradshaw for 19 yards (tackle by Tom Zbikowski)",0.000,0.040
2,4:04,1,10,NYG 18,3,20,Eli Manning sacked by Jarret Johnson for -7 yards,0.040,-1.290
2,3:34,2,17,NYG 11,3,20,Brandon Jacobs left tackle for 3 yards (tackle by Jarret Johnson and Marques Douglas),-1.290,-1.820
2,2:48,3,14,NYG 14,3,20,Eli Manning pass incomplete deep left intended for Plaxico Burress,-1.820,-2.470
2,2:41,4,14,NYG 14,3,20,"Jeff Feagles punts 42 yards, returned by Yamon Figurs for 11 yards (tackle by Danny Clark). Yamon Figurs fumbles, recovered by Brendon Ayanbadejo at NYG-45 (tackle by Chase Blackburn). Penalty on Frank Walker: Offensive Holding, 10 yards",-2.470,-1.200
2,2:29,1,10,BAL 34,3,20,Joe Flacco pass incomplete short right intended for Le'Ron McClain,1.200,0.660
2,2:22,2,10,BAL 34,3,20,Joe Flacco pass complete short right to Ray Rice for 8 yards (tackle by Michael Johnson),0.660,1.030
2,2:00,3,2,BAL 42,3,20,"Penalty on Mathias Kiwanuka: Neutral Zone Infraction, 5 yards (no play)",1.030,2.060
2,2:00,1,10,BAL 47,3,20,Joe Flacco pass incomplete deep middle intended for Derrick Mason is intercepted by Aaron Ross at NYG-37 and returned for 10 yards,2.060,-2.060
2,1:51,1,10,NYG 47,3,20,Eli Manning pass complete short left to Plaxico Burress for 11 yards (tackle by Samari Rolle),2.060,2.790
2,1:24,1,10,BAL 42,3,20,Eli Manning pass incomplete short left intended for Derrick Ward,2.790,2.240
2,1:20,2,10,BAL 42,3,20,Eli Manning pass complete short left to Derrick Ward for 3 yards (tackle by Haloti Ngata),2.240,1.950
2,1:13,,,,3,20,Timeout #1 by New York Giants,0.000,1.950
2,1:13,3,7,BAL 39,3,20,"Penalty on Jarret Johnson: Defensive Offside, 5 yards (no play)",1.950,2.610
2,1:13,3,2,BAL 34,3,20,"Eli Manning pass incomplete short left intended for Plaxico Burress. Penalty on Bart Scott: Defensive Offside, 5 yards (no play)",2.610,3.640
2,1:09,1,10,BAL 29,3,20,Eli Manning pass complete short middle to Steve Smith for 5 yards (tackle by Corey Ivy and Bart Scott),3.640,3.780
2,0:45,2,5,BAL 24,3,20,Derrick Ward left guard for 4 yards (tackle by Ed Reed and Bart Scott),3.780,3.600
2,0:37,,,,3,20,Timeout #2 by New York Giants,0.000,3.600
2,0:37,3,1,BAL 20,3,20,Derrick Ward right guard for 2 yards (tackle by Bart Scott),3.600,4.370
2,0:19,1,10,BAL 18,3,20,Eli Manning pass incomplete short middle intended for Kevin Boss is intercepted by Ray Lewis at BAL-6,4.370,0.380
2,0:12,1,10,BAL 6,3,20,Joe Flacco kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,BAL,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 30,3,20,"Steven Hauschka kicks off 60 yards, returned by Ahmad Bradshaw for 19 yards (tackle by Haruki Nakamura)",0.000,0.870
3,14:54,1,10,NYG 29,3,20,Brandon Jacobs left end for -2 yards (tackle by Terrell Suggs and Ray Lewis),0.870,0.060
3,14:10,2,12,NYG 27,3,20,Brandon Jacobs left end for 2 yards (tackle by Terrell Suggs),0.060,-0.360
3,13:30,3,10,NYG 29,3,20,Eli Manning pass complete short right to Steve Smith for 12 yards (tackle by Fabian Washington),-0.360,1.660
3,12:45,1,10,NYG 41,3,20,Derrick Ward middle for 1 yard (tackle by Marques Douglas),1.660,1.260
3,12:06,2,9,NYG 42,3,20,Eli Manning pass incomplete short right intended for Amani Toomer,1.260,0.560
3,12:02,3,9,NYG 42,3,20,"Eli Manning pass incomplete. Penalty on Eli Manning: Intentional Grounding, 10 yards",0.560,-1.240
3,11:58,4,19,NYG 32,3,20,Jeff Feagles punts 47 yards,-1.240,-0.340
3,11:50,1,10,BAL 21,3,20,Joe Flacco pass complete short left to Todd Heap for 1 yard (tackle by James Butler),0.340,-0.070
3,11:19,2,9,BAL 22,3,20,Joe Flacco left end for 11 yards (tackle by James Butler),-0.070,1.140
3,10:42,1,10,BAL 33,3,20,Willis McGahee left end for -3 yards (tackle by Aaron Ross),1.140,0.190
3,10:08,2,13,BAL 30,3,20,Joe Flacco pass complete short right to Willis McGahee for 4 yards (tackle by Danny Clark and Chase Blackburn),0.190,0.040
3,9:22,3,9,BAL 34,3,20,Joe Flacco for 14 yards (tackle by Antonio Pierce),0.040,2.130
3,8:54,1,10,BAL 48,3,20,Joe Flacco pass complete short right to Derrick Mason for 4 yards (tackle by Aaron Ross and Michael Johnson),2.130,2.120
3,8:14,2,6,NYG 48,3,20,Joe Flacco pass complete short right to Derrick Mason for 9 yards (tackle by Aaron Ross),2.120,2.980
3,7:40,1,10,NYG 39,3,20,Joe Flacco pass complete short right to Le'Ron McClain for 12 yards (tackle by James Butler),2.980,3.780
3,7:00,1,10,NYG 27,3,20,Joe Flacco right end for 1 yard (tackle by Justin Tuck),3.780,3.370
3,6:24,2,9,NYG 26,3,20,Joe Flacco pass complete short left to Ray Rice for no gain,3.370,2.680
3,5:38,3,9,NYG 26,3,20,Joe Flacco pass complete short middle to Derrick Mason for 14 yards (tackle by Terrell Thomas),2.680,4.780
3,5:38,1,10,NYG 12,3,20,Willis McGahee left guard for 2 yards (tackle by Mathias Kiwanuka),4.780,4.450
3,4:35,2,8,NYG 10,9,20,"Joe Flacco pass complete short right to Le'Ron McClain for 10 yards, touchdown",4.450,7.000
3,,,,NYG 2,10,20,Matt Stover kicks extra point good,0.000,0.000
3,,,,BAL 30,10,20,"Steven Hauschka kicks off 61 yards, returned by Ahmad Bradshaw for 15 yards (tackle by Robert McCune)",0.000,0.540
3,4:17,1,10,NYG 24,10,20,Eli Manning pass complete short left to Derrick Ward for 24 yards (tackle by Samari Rolle),0.540,2.130
3,3:48,1,10,NYG 48,10,20,Derrick Ward left guard for no gain (tackle by Terrell Suggs and Ray Lewis),2.130,1.580
3,3:10,2,10,NYG 48,10,20,Derrick Ward left guard for 3 yards (tackle by Terrell Suggs),1.580,1.290
3,2:27,3,7,BAL 49,10,20,Eli Manning pass incomplete short middle intended for Steve Smith (defended by Samari Rolle),1.290,0.000
,,,,,,,"NYG challenged the pass completion ruling, and the original play was overturned.",,
3,2:22,4,7,BAL 49,10,20,"Jeff Feagles punts 49 yards, touchback. Penalty on Madison Hedgecock: Tripping, 10 yards",0.000,-0.940
