Quarter,Time,Tm,Detail,BAL,NYG
1.0,8:45,Giants,Brandon Jacobs 1 yard rush (Lawrence Tynes kick),0,7
,0:59,Giants,Brandon Jacobs 1 yard rush (Lawrence Tynes kick failed),0,13
2.0,7:14,Giants,Darcy Johnson 1 yard pass from Eli Manning (Lawrence Tynes kick),0,20
,4:08,Ravens,Matt Stover 38 yard field goal,3,20
3.0,4:26,Ravens,Le'Ron McClain 10 yard pass from Joe Flacco (Matt Stover kick),10,20
,0:14,Giants,Aaron Ross 50 yard interception return (Lawrence Tynes kick),10,27
4.0,12:02,Giants,Lawrence Tynes 19 yard field goal,10,30
