Quarter,Time,Down,ToGo,Location,BAL,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Ryan Succop kicks off 69 yards, returned by Jalen Parmele for 29 yards (tackle by Ricky Price)",0.000,0.940
1,14:55,1,10,BAL 30,0,0,Joe Flacco pass incomplete short right intended for Derrick Mason (defended by Eric Berry),0.940,0.390
1,14:50,2,10,BAL 30,0,0,Joe Flacco pass complete short middle to Anquan Boldin for 27 yards (tackle by Brandon Carr),0.390,2.720
1,14:13,1,10,KAN 43,0,0,Ray Rice middle for 2 yards (tackle by Jovan Belcher),2.720,2.450
1,13:39,2,8,KAN 41,0,0,Joe Flacco pass incomplete short right intended for Derrick Mason (defended by Brandon Flowers),2.450,1.750
1,13:33,3,8,KAN 41,0,0,Joe Flacco pass complete short left to Todd Heap for 12 yards (tackle by Eric Berry),1.750,3.640
1,12:55,1,10,KAN 29,0,0,Ray Rice middle for -2 yards (tackle by Jovan Belcher),3.640,2.830
1,12:23,2,12,KAN 31,0,0,Joe Flacco pass complete short left to Ray Rice for 10 yards (tackle by Shaun Smith),2.830,3.470
1,11:41,3,2,KAN 21,0,0,Joe Flacco pass complete short right to Todd Heap for 7 yards (tackle by Eric Berry),3.470,4.650
1,11:02,1,10,KAN 14,0,0,Joe Flacco pass incomplete short right intended for Todd Heap,4.650,4.000
1,10:50,2,10,KAN 14,0,0,Joe Flacco pass complete short right to Todd Heap for 13 yards (tackle by Eric Berry),4.000,6.970
1,,1,1,KAN 1,0,0,--,6.970,5.910
1,9:51,2,1,KAN 1,0,0,Willis McGahee middle for no gain (tackle by Derrick Johnson and Shaun Smith),5.910,5.170
1,9:11,3,1,KAN 1,0,0,Joe Flacco pass incomplete short right intended for Todd Heap (defended by Eric Berry),5.170,3.550
1,9:04,4,1,KAN 1,3,0,Billy Cundiff 19 yard field goal good,3.550,3.000
1,,,,BAL 30,3,0,"Billy Cundiff kicks off 56 yards, returned by Dexter McCluster for 11 yards (tackle by Dannell Ellerbe)",0.000,0.610
1,8:55,1,10,KAN 25,3,0,Matt Cassel right end for 2 yards (tackle by Jameel McClain),0.610,0.330
1,8:19,2,8,KAN 27,3,0,Matt Cassel pass incomplete deep left intended for Tony Moeaki,0.330,-0.360
1,8:11,3,8,KAN 27,3,0,Jamaal Charles left end for 4 yards (tackle by Dannell Ellerbe and Ray Lewis),-0.360,-1.310
1,7:36,4,4,KAN 31,3,0,"Dustin Colquitt punts 54 yards, fair catch by Lardarius Webb",-1.310,0.220
1,7:27,1,10,BAL 15,3,0,Ray Rice left end for -1 yards (tackle by Ron Edwards and Glenn Dorsey),-0.220,-0.820
1,6:53,2,11,BAL 14,3,0,Joe Flacco pass incomplete short left intended for Anquan Boldin,-0.820,-1.510
1,6:47,3,11,BAL 14,3,0,Joe Flacco pass complete short right to Ray Rice for 11 yards (tackle by Tamba Hali),-1.510,0.610
,,,,,,,"KAN challenged the first down ruling, and the play was upheld.",,
1,6:26,1,10,BAL 25,3,0,Ray Rice left guard for 3 yards (tackle by Glenn Dorsey),0.610,0.470
1,5:52,2,7,BAL 28,3,0,Joe Flacco pass complete short left to Ray Rice for 8 yards (tackle by Shaun Smith),0.470,1.330
1,5:10,1,10,BAL 36,3,0,Willis McGahee middle for 1 yard (tackle by Eric Berry),1.330,0.930
1,4:36,2,9,BAL 37,3,0,Joe Flacco pass complete short left to Todd Heap for 3 yards (tackle by Eric Berry),0.930,0.630
1,3:54,3,6,BAL 40,3,0,Joe Flacco pass complete short middle to Anquan Boldin for 14 yards (tackle by Javier Arenas and Eric Berry),0.630,2.520
1,3:17,1,10,KAN 46,3,0,Joe Flacco pass incomplete deep right intended for Derrick Mason,2.520,1.980
1,3:11,2,10,KAN 46,3,0,"Joe Flacco sacked by Tamba Hali for -8 yards. Joe Flacco fumbles (forced by Tamba Hali), recovered by Tamba Hali at BAL-46 (tackle by Marshal Yanda)",1.980,-2.520
1,2:58,1,10,BAL 46,3,0,Matt Cassel right end for 5 yards (tackle by Terrell Suggs),2.520,2.650
1,2:17,2,5,BAL 41,3,6,"Jamaal Charles middle for 41 yards, touchdown",2.650,7.000
1,,,,BAL 2,3,7,Ryan Succop kicks extra point good,0.000,0.000
1,,,,KAN 30,3,7,"Ryan Succop kicks off 74 yards, touchback",0.000,0.280
1,2:09,1,10,BAL 20,3,7,Willis McGahee right guard for 7 yards (tackle by Eric Berry),0.280,0.680
1,1:29,2,3,BAL 27,3,7,Joe Flacco pass complete short left to T.J. Houshmandzadeh for 28 yards (tackle by Brandon Carr),0.680,2.590
1,1:00,1,10,KAN 45,3,7,Joe Flacco pass complete short left to Ed Dickson for 2 yards (tackle by Eric Berry),2.590,2.310
1,0:25,2,8,KAN 43,3,7,Willis McGahee right end for 3 yards (tackle by Brandon Flowers),2.310,2.010
Quarter,Time,Down,ToGo,Location,BAL,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,KAN 40,3,7,Joe Flacco pass incomplete short right intended for Anquan Boldin (defended by Eric Berry),2.010,0.590
2,14:56,4,5,KAN 40,3,7,"Sam Koch punts 26 yards, fair catch by Javier Arenas",0.590,0.280
2,14:48,1,10,KAN 14,3,7,Jamaal Charles right tackle for 11 yards (tackle by Jameel McClain and Dawan Landry),-0.280,0.610
2,14:08,1,10,KAN 25,3,7,Jamaal Charles left tackle for 8 yards (tackle by Dawan Landry),0.610,1.140
2,13:33,2,2,KAN 33,3,7,Jamaal Charles right end for 9 yards (tackle by Jameel McClain and Chris Carr),1.140,1.730
2,12:57,1,10,KAN 42,3,7,Matt Cassel pass complete short middle to Thomas Jones for 8 yards (tackle by Jarret Johnson),1.730,2.270
2,12:15,2,2,,3,7,Thomas Jones middle for 2 yards (tackle by Ed Reed),2.270,2.390
2,11:33,1,10,BAL 48,3,7,"Jamaal Charles right tackle for 3 yards (tackle by Terrence Cody). Jamaal Charles fumbles (forced by Terrence Cody), recovered by Brandon McKinney at BAL-45 (tackle by Jamaal Charles)",2.390,-1.930
2,11:24,1,10,BAL 45,3,7,Ray Rice middle for 5 yards (tackle by Shaun Smith and Jovan Belcher),1.930,2.060
2,10:43,2,5,,3,7,Ray Rice middle for 1 yard (tackle by Glenn Dorsey),2.060,1.490
2,10:17,3,4,KAN 49,3,7,Joe Flacco sacked by Tamba Hali for 0 yards,1.490,0.000
2,9:19,4,4,KAN 49,3,7,Sam Koch punts 36 yards,0.000,0.320
2,9:12,1,10,KAN 13,3,7,Matt Cassel pass complete short left to Tony Moeaki for 22 yards (tackle by Ed Reed),-0.320,1.270
2,8:38,1,10,KAN 35,3,7,Jamaal Charles left end for 11 yards (tackle by Josh Wilson),1.270,1.990
2,8:02,1,10,KAN 46,3,7,Thomas Jones middle for 1 yard (tackle by Brandon McKinney),1.990,1.590
2,7:23,2,9,KAN 47,3,7,Matt Cassel pass complete short right to Dexter McCluster for 6 yards (tackle by Jameel McClain),1.590,1.690
2,6:40,,,,3,7,Timeout #2 by Kansas City Chiefs,0.000,1.690
2,6:40,3,3,BAL 47,3,7,"Penalty on Branden Albert: False Start, 5 yards (no play)",1.690,1.030
2,6:40,3,8,KAN 48,3,7,Matt Cassel pass complete short left to Dexter McCluster for 4 yards (tackle by Ed Reed),1.030,0.070
2,6:00,4,4,BAL 48,3,7,"Dustin Colquitt punts 48 yards, touchback",0.070,-0.280
2,5:49,1,10,BAL 20,3,7,Joe Flacco pass complete short left to Willis McGahee for 2 yards (tackle by Mike Vrabel and Glenn Dorsey),0.280,0.000
2,5:05,2,8,BAL 22,3,7,Joe Flacco middle for 13 yards (tackle by Jovan Belcher),0.000,1.270
2,4:24,1,10,BAL 35,3,7,Joe Flacco sacked by Jovan Belcher for -7 yards,1.270,-0.220
2,3:48,2,17,BAL 28,3,7,Joe Flacco pass complete short left to Ray Rice for 4 yards (tackle by Javier Arenas),-0.220,-0.360
2,3:09,3,13,BAL 32,3,7,Joe Flacco pass complete short middle to Todd Heap for 13 yards (tackle by Jon McGraw),-0.360,1.930
2,2:26,1,10,BAL 45,3,7,Joe Flacco pass complete deep left to Todd Heap for 21 yards (tackle by Brandon Carr),1.930,3.310
2,2:00,1,10,KAN 34,3,7,Joe Flacco right guard for 5 yards (tackle by Jovan Belcher),3.310,3.450
2,1:19,2,5,KAN 29,3,7,Joe Flacco pass complete short middle to Todd Heap for 12 yards (tackle by Jon McGraw),3.450,4.440
2,1:07,,,,3,7,Timeout #1 by Baltimore Ravens,0.000,4.440
2,1:07,1,10,KAN 17,3,7,Joe Flacco for 6 yards (tackle by Derrick Johnson),4.440,4.890
2,0:58,2,4,KAN 11,3,7,Ray Rice middle for 2 yards (tackle by Glenn Dorsey),4.890,4.570
2,0:25,3,2,KAN 9,9,7,"Joe Flacco pass complete short right to Ray Rice for 9 yards, touchdown",4.570,7.000
2,,,,KAN 2,10,7,Billy Cundiff kicks extra point good,0.000,0.000
2,,,,BAL 30,10,7,"Billy Cundiff kicks off 66 yards, returned by Dexter McCluster for 12 yards (tackle by Dawan Landry)",0.000,-0.140
2,0:15,1,10,KAN 16,10,7,Matt Cassel kneels for -1 yards,-0.140,-0.780
Quarter,Time,Down,ToGo,Location,BAL,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 30,10,7,"Billy Cundiff kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,KAN 20,10,7,Matt Cassel pass incomplete short right intended for Jamaal Charles,0.280,-0.270
3,14:57,2,10,KAN 20,10,7,Matt Cassel pass complete short right to Dexter McCluster for -1 yards (tackle by Jarret Johnson),-0.270,-1.140
3,14:10,3,11,KAN 19,10,7,"Matt Cassel pass incomplete deep middle intended for Tony Moeaki is intercepted by Haruki Nakamura at KAN-35 and returned for 3 yards. Haruki Nakamura fumbles (forced by Jamaal Charles), recovered by Jamaal Charles at KAN-32 (tackle by Lardarius Webb)",-1.140,1.070
3,13:57,1,10,KAN 32,10,7,Dexter McCluster right end for 2 yards (tackle by Lardarius Webb),1.070,0.800
3,13:20,2,8,KAN 34,10,7,Jamaal Charles left tackle for -1 yards (tackle by Dawan Landry),0.800,-0.030
3,12:43,3,9,KAN 33,10,7,Matt Cassel pass complete short left to Jamaal Charles for 15 yards (tackle by Jameel McClain),-0.030,2.130
3,12:04,1,10,KAN 48,10,7,Thomas Jones right tackle for 10 yards (tackle by Ed Reed and Terrence Cody),2.130,2.790
3,11:23,1,10,BAL 42,10,7,Matt Cassel pass complete short right to Verran Tucker for 5 yards (tackle by Chris Carr),2.790,2.920
3,10:56,2,5,BAL 37,10,7,Dexter McCluster middle for 3 yards (tackle by Jameel McClain),2.920,2.610
3,10:22,3,2,BAL 34,10,7,Thomas Jones middle for 1 yard (tackle by Ray Lewis),2.610,1.210
3,9:45,4,1,BAL 33,10,7,Jamaal Charles right end for -4 yards (tackle by Dawan Landry),1.210,-1.470
3,9:38,1,10,BAL 38,10,7,"Joe Flacco pass complete short right to Derrick Mason for 11 yards (tackle by Brandon Flowers). Penalty on Tamba Hali: Unnecessary Roughness, 15 yards",1.470,3.180
3,9:08,1,10,KAN 36,10,7,Ray Rice middle for 4 yards (tackle by Glenn Dorsey),3.180,3.180
3,8:31,2,6,KAN 32,10,7,Joe Flacco pass complete short left to Anquan Boldin for 13 yards (tackle by Eric Berry),3.180,4.310
3,8:02,1,10,KAN 19,10,7,Ray Rice middle for 4 yards (tackle by Ron Edwards and Shaun Smith),4.310,4.350
3,7:19,2,6,KAN 15,10,7,Joe Flacco for 4 yards,4.350,4.430
3,6:43,3,2,KAN 11,10,7,Joe Flacco pass incomplete short left intended for Todd Heap (defended by Eric Berry),4.430,2.820
3,6:39,4,2,KAN 11,13,7,Billy Cundiff 29 yard field goal good,2.820,3.000
3,,,,BAL 30,13,7,"Billy Cundiff kicks off 71 yards, returned by Dexter McCluster for 24 yards (tackle by Prescott Burgess)",0.000,0.480
3,6:31,1,10,KAN 23,13,7,"Matt Cassel pass incomplete. Penalty on Matt Cassel: Intentional Grounding, 10 yards",0.480,-1.500
3,6:24,2,20,KAN 13,13,7,Matt Cassel sacked by Terrell Suggs for -5 yards,-1.500,-3.180
3,5:49,3,25,KAN 8,13,7,"Matt Cassel pass complete short left to Dexter McCluster for 8 yards (tackle by Ray Lewis). Dexter McCluster fumbles (forced by Ray Lewis), recovered by Chris Carr at KAN-17 (tackle by Casey Wiegmann)",-3.180,-4.440
3,5:40,1,10,KAN 17,13,7,"Joe Flacco pass incomplete deep right intended for Todd Heap. Penalty on Eric Berry: Illegal Contact, 5 yards (no play)",4.440,4.780
3,5:35,1,10,KAN 12,13,7,Ray Rice middle for 3 yards (tackle by Derrick Johnson and Mike Vrabel),4.780,4.640
3,5:02,2,7,KAN 9,13,7,Joe Flacco sacked by Jovan Belcher and Tyson Jackson for -2 yards,4.640,3.290
3,4:28,3,9,KAN 11,13,7,Joe Flacco pass incomplete short middle intended for Ray Rice (defended by Tamba Hali),3.290,2.700
3,4:24,4,9,KAN 11,16,7,Billy Cundiff 29 yard field goal good,2.700,3.000
3,,,,BAL 30,16,7,"Billy Cundiff kicks off 78 yards, touchback",0.000,0.280
3,4:20,1,10,KAN 20,16,7,Thomas Jones middle for 1 yard (tackle by Terrell Suggs),0.280,-0.130
3,3:46,2,9,KAN 21,16,7,"Matt Cassel pass incomplete short middle intended for Tony Moeaki is intercepted by Dawan Landry at KAN-30 and returned for 9 yards. Penalty on Cory Redding: Illegal Block Above the , 10 yards",-0.130,-3.510
3,3:26,1,10,KAN 31,16,7,Willis McGahee left tackle for 3 yards (tackle by Jovan Belcher and Shaun Smith),3.510,3.370
3,2:52,2,7,KAN 28,16,7,Joe Flacco pass complete short middle to Willis McGahee for 8 yards (tackle by Mike Vrabel and Derrick Johnson),3.370,4.240
3,2:09,1,10,KAN 20,16,7,Willis McGahee middle for 2 yards (tackle by Tamba Hali and Jovan Belcher),4.240,3.960
3,1:31,2,8,KAN 18,16,7,Joe Flacco pass complete short right to Todd Heap for 13 yards (tackle by Brandon Flowers),3.960,6.060
3,1:05,1,5,KAN 5,16,7,Le'Ron McClain middle for 1 yard (tackle by Glenn Dorsey and Tamba Hali),6.060,5.340
3,0:32,,,,16,7,Timeout #1 by Baltimore Ravens,0.000,5.340
3,0:32,2,4,KAN 4,22,7,"Joe Flacco pass complete short middle to Anquan Boldin for 4 yards, touchdown",5.340,7.000
3,,,,KAN 2,23,7,Billy Cundiff kicks extra point good,0.000,0.000
3,,,,BAL 30,23,7,"Billy Cundiff kicks off 60 yards, returned by Dexter McCluster for 36 yards (tackle by Billy Cundiff)",0.000,1.990
3,0:21,1,10,KAN 46,23,7,Matt Cassel pass incomplete,1.990,1.450
,,,,,,,"KAN challenged the fumble ruling, and the original play was overturned.",,
3,0:19,2,10,KAN 46,23,7,Matt Cassel pass complete short left to Kevin Curtis for 3 yards (tackle by Josh Wilson),1.450,1.160
Quarter,Time,Down,ToGo,Location,BAL,KAN,Detail,EPB,EPA
