Unnamed: 0,BAL,KAN
First Downs,26,8
Rush-Yds-TDs,40-142-1,19-108-1
Cmp-Att-Yd-TD-INT,25-34-265-2-0,9-18-70-0-3
Sacked-Yards,4-17,3-17
Net Pass Yards,248,53
Total Yards,390,161
Fumbles-Lost,3-2,2-2
Turnovers,2,5
Penalties-Yards,2-20,5-40
Third Down Conv.,9-17,1-8
Fourth Down Conv.,1-1,0-2
Time of Possession,41:44,18:16
