Unnamed: 0,LAC,WAS
First Downs,27,15
Rush-Yds-TDs,29-90-1,27-126-0
Cmp-Att-Yd-TD-INT,31-47-337-1-1,14-21-135-1-0
Sacked-Yards,2-3,1-2
Net Pass Yards,334,133
Total Yards,424,259
Fumbles-Lost,2-1,3-1
Turnovers,2,1
Penalties-Yards,6-94,8-57
Third Down Conv.,14-19,3-10
Fourth Down Conv.,0-0,1-1
Time of Possession,36:03,23:57
