Quarter,Time,Tm,Detail,LAC,WAS
1.0,9:14,Chargers,Austin Ekeler 3 yard rush (Tristan Vizcaino kick),7,0
,2:57,Football Team,Dustin Hopkins 30 yard field goal,7,3
2.0,13:36,Football Team,Dustin Hopkins 43 yard field goal,7,6
,9:06,Chargers,Tristan Vizcaino 33 yard field goal,10,6
,0:45,Chargers,Tristan Vizcaino 27 yard field goal,13,6
,0:00,Football Team,Dustin Hopkins 48 yard field goal,13,9
3.0,11:20,Football Team,Logan Thomas 11 yard pass from Taylor Heinicke (Dustin Hopkins kick),13,16
4.0,11:21,Chargers,Mike Williams 3 yard pass from Justin Herbert (Tristan Vizcaino kick),20,16
