Quarter,Time,Down,ToGo,Location,LAC,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Football Team won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Dustin Hopkins kicks off 65 yards, touchback.",,
1,15:00,1,10,LAC 25,0,0,Justin Herbert pass complete short left to Jalen Guyton for 10 yards (tackle by Cole Holcomb),,
1,14:33,1,10,LAC 35,0,0,Justin Herbert pass complete short right to Jared Cook for 6 yards (tackle by Kamren Curl),,
1,14:03,2,4,LAC 41,0,0,Austin Ekeler left tackle for 11 yards (tackle by Landon Collins and Kendall Fuller),,
1,13:30,1,10,WAS 48,0,0,Justin Herbert pass complete to Mike Williams for 9 yards (tackle by William Jackson),,
1,12:54,2,1,WAS 39,0,0,Larry Rountree for 13 yards (tackle by Bobby McCain),,
1,12:14,1,10,WAS 26,0,0,Justin Herbert pass complete to Mike Williams for 11 yards (tackle by Bobby McCain),,
1,11:29,1,10,WAS 15,0,0,Larry Rountree for 3 yards (tackle by Daron Payne),,
1,11:00,2,7,WAS 12,0,0,Justin Herbert pass complete to Jared Cook for -3 yards (tackle by Casey Toohill),,
1,10:15,3,10,WAS 15,0,0,"Penalty on James Smith-Williams: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
1,9:57,3,5,WAS 10,0,0,Justin Herbert pass complete short middle to Keenan Allen for 7 yards (tackle by Kendall Fuller),,
1,9:19,1,3,WAS 3,6,0,"Austin Ekeler left tackle for 3 yards, touchdown",,
1,9:14,,,WAS 15,7,0,Tristan Vizcaino kicks extra point good,,
1,9:14,,,LAC 35,7,0,"Tristan Vizcaino kicks off 55 yards, returned by DeAndre Carter for 16 yards (tackle by Larry Rountree and Justin Jackson)",,
1,9:09,1,10,WAS 26,7,0,Antonio Gibson left guard for 4 yards (tackle by Joey Bosa),,
1,8:33,2,6,WAS 30,7,0,Ryan Fitzpatrick pass complete short middle to Antonio Gibson for 2 yards (tackle by Kyzir White),,
1,7:52,3,4,WAS 32,7,0,Ryan Fitzpatrick pass incomplete short right intended for Dyami Brown (defended by Derwin James),,
1,7:44,4,4,WAS 32,7,0,Tress Way punts 56 yards out of bounds,,
1,7:35,1,10,LAC 12,7,0,Justin Herbert pass incomplete short left intended for Keenan Allen,,
1,7:30,2,10,LAC 12,7,0,Austin Ekeler left tackle for 1 yard (tackle by Chase Young and Jonathan Bostic),,
1,6:54,3,9,LAC 13,7,0,Justin Herbert pass complete short left to Justin Jackson for 2 yards (tackle by Cole Holcomb),,
1,6:14,4,7,LAC 15,7,0,"Ty Long punts 47 yards, returned by DeAndre Carter for 14 yards (tackle by Kyler Fackrell and Alohi Gilman)",,
1,6:04,1,10,LAC 48,7,0,Antonio Gibson right guard for 4 yards (tackle by Joey Bosa),,
1,5:37,2,7,LAC 45,7,0,Antonio Gibson left guard for 27 yards (tackle by Nasir Adderley),,
1,5:00,1,10,LAC 17,7,0,Antonio Gibson left tackle for -3 yards (tackle by Justin Jones),,
1,4:20,2,13,LAC 20,7,0,Ryan Fitzpatrick pass complete short right to Adam Humphries for 6 yards (tackle by Asante Samuel),,
1,3:46,3,7,LAC 14,7,0,Ryan Fitzpatrick scrambles up the middle for 2 yards (tackle by Kenneth Murray),,
1,3:00,4,5,LAC 12,7,3,Dustin Hopkins 30 yard field goal good,,
1,2:57,,,WAS 35,7,3,"Dustin Hopkins kicks off 67 yards, returned by Nasir Adderley for 19 yards (tackle by Jared Norris)",,
1,2:52,1,10,LAC 17,7,3,Justin Herbert pass complete short left to Keenan Allen for 11 yards (tackle by Bobby McCain),,
1,2:22,1,10,LAC 28,7,3,Justin Herbert pass incomplete short middle intended for Jared Cook (defended by Kamren Curl),,
1,2:17,2,10,LAC 28,7,3,Justin Herbert pass complete short right to K.J. Hill for 4 yards (tackle by Bobby McCain),,
1,1:41,3,6,LAC 32,7,3,Justin Herbert pass incomplete short middle intended for Jalen Guyton,,
1,1:36,4,6,LAC 32,7,3,"Ty Long punts 47 yards, returned by DeAndre Carter for 8 yards (tackle by Drue Tranquill and Stephen Anderson)",,
1,1:25,1,10,WAS 29,7,3,Ryan Fitzpatrick pass complete short right to Antonio Gibson for 5 yards (tackle by Uchenna Nwosu),,
1,0:48,2,5,WAS 34,7,3,Antonio Gibson right guard for 3 yards (tackle by Nasir Adderley),,
1,0:25,3,2,WAS 37,7,3,Antonio Gibson left guard for 6 yards (tackle by Kyzir White and Derwin James),,
Quarter,Time,Down,ToGo,Location,LAC,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,WAS 43,7,3,"Ryan Fitzpatrick pass incomplete deep middle intended for Dyami Brown. Penalty on Asante Samuel: Defensive Pass Interference, 35 yards (accepted) (no play)",,
2,14:53,1,10,LAC 22,7,3,Antonio Gibson right tackle for -1 yards (tackle by Linval Joseph and Joey Bosa),,
2,14:17,2,11,LAC 23,7,3,Ryan Fitzpatrick pass incomplete short right intended for Antonio Gibson,,
2,14:11,3,11,LAC 23,7,3,"Ryan Fitzpatrick sacked by Joey Bosa for -2 yards. Ryan Fitzpatrick fumbles (forced by Joey Bosa), recovered by Logan Thomas at LAC-25",,
2,13:40,4,13,LAC 25,7,6,Dustin Hopkins 43 yard field goal good,,
2,13:36,,,WAS 35,7,6,"Dustin Hopkins kicks off 63 yards, returned by Nasir Adderley for 16 yards (tackle by Jared Norris and Cam Sims). Penalty on Mark Webb: Offensive Illegal Block Above the Waist, 9 yards (accepted)",,
2,13:29,1,10,LAC 9,7,6,Justin Herbert pass complete deep right to Mike Williams for 18 yards (tackle by Kamren Curl),,
2,12:58,1,10,LAC 27,7,6,Larry Rountree right end for 7 yards (tackle by Cole Holcomb),,
2,12:31,2,4,LAC 33,7,6,Justin Herbert pass complete short left to Keenan Allen for 16 yards (tackle by Kamren Curl),,
2,11:53,1,10,LAC 50,7,6,Larry Rountree up the middle for -3 yards (tackle by Matthew Ioannidis),,
2,11:16,2,13,LAC 47,7,6,Justin Herbert pass complete short right to Keenan Allen for 10 yards (tackle by Jonathan Bostic),,
2,10:39,3,3,WAS 43,7,6,Justin Herbert pass complete deep left to Jalen Guyton for 22 yards (tackle by Kendall Fuller),,
2,9:57,1,10,WAS 21,7,6,Justin Herbert pass incomplete short right intended for Mike Williams,,
2,9:52,2,10,WAS 21,7,6,"Penalty on Chase Young: Defensive Offside, 5 yards (accepted) (no play)",,
2,9:52,2,5,WAS 16,7,6,Austin Ekeler right end for 1 yard (tackle by Daron Payne),,
2,9:14,3,4,WAS 15,7,6,Justin Herbert pass incomplete short left intended for Keenan Allen,,
2,9:09,4,4,WAS 15,10,6,Tristan Vizcaino 33 yard field goal good,,
2,9:06,,,LAC 35,10,6,"Tristan Vizcaino kicks off 64 yards, returned by DeAndre Carter for 31 yards (tackle by Nick Niemann)",,
2,9:00,1,10,WAS 32,10,6,Ryan Fitzpatrick pass incomplete short right intended for J.D. McKissic,,
2,8:57,2,10,WAS 32,10,6,Taylor Heinicke pass incomplete deep right intended for Dyami Brown,,
2,8:53,3,10,WAS 32,10,6,Taylor Heinicke pass incomplete short right intended for Dyami Brown,,
2,8:53,4,10,WAS 32,10,6,"Tress Way punts 45 yards, returned by K.J. Hill for 3 yards (tackle by David Mayo)",,
2,8:37,1,10,LAC 26,10,6,Austin Ekeler right guard for 4 yards (tackle by Landon Collins and Cole Holcomb),,
2,8:15,2,6,LAC 30,10,6,Justin Herbert pass complete short left to Stephen Anderson for 1 yard (tackle by Jonathan Bostic),,
2,7:27,3,5,LAC 31,10,6,"Justin Herbert pass complete short left to Keenan Allen for no gain (tackle by William Jackson). Penalty on William Jackson: Defensive Pass Interference, 2 yards (accepted) (no play)",,
2,7:21,1,10,LAC 33,10,6,Larry Rountree left tackle for 3 yards (tackle by Cole Holcomb),,
2,6:43,2,7,LAC 36,10,6,Justin Herbert pass complete short middle to Mike Williams for 6 yards (tackle by Kendall Fuller),,
2,6:08,3,1,LAC 42,10,6,Gabe Nabers right guard for 2 yards (tackle by Jonathan Allen and Matthew Ioannidis),,
2,5:37,1,10,LAC 44,10,6,Justin Herbert pass incomplete deep left intended for Jared Cook,,
2,5:29,2,10,LAC 44,10,6,"Justin Herbert pass complete short middle to Mike Williams for no gain (tackle by Kendall Fuller). Penalty on Bryan Bulaga: Offensive Holding, 10 yards (accepted) (no play)",,
2,4:59,2,20,LAC 34,10,6,Justin Herbert pass complete short right to Jalen Guyton for 17 yards (tackle by Cole Holcomb),,
2,4:24,3,3,WAS 49,10,6,Justin Herbert pass complete short right to Mike Williams for 4 yards (tackle by William Jackson),,
2,3:42,1,10,WAS 45,10,6,Larry Rountree right end for no gain (tackle by Jamin Davis and James Smith-Williams),,
2,3:07,2,10,WAS 45,10,6,Justin Herbert pass complete deep left to Josh Palmer for 17 yards (tackle by Kendall Fuller),,
2,2:34,1,10,WAS 28,10,6,Justin Herbert pass complete short left to Mike Williams for 11 yards (tackle by William Jackson),,
2,2:00,1,10,WAS 17,10,6,Austin Ekeler left end for 7 yards (tackle by Jonathan Bostic and Cole Holcomb),,
2,1:51,,,,,,Timeout #0 by Washington Football Team,,
2,1:51,2,3,WAS 10,10,6,Austin Ekeler left end for 2 yards (tackle by Montez Sweat and Jonathan Bostic),,
2,1:46,,,,,,Timeout #2 by Washington Football Team,,
2,1:46,3,1,WAS 8,10,6,Justin Herbert left guard for 2 yards (tackle by Jamin Davis),,
2,1:43,,,,,,Timeout #3 by Washington Football Team,,
2,1:43,1,6,WAS 6,10,6,Justin Herbert pass incomplete short right intended for Jalen Guyton,,
2,1:37,2,6,WAS 6,10,6,Justin Herbert sacked by Jonathan Allen for -3 yards,,
2,0:52,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:52,3,9,WAS 9,10,6,Justin Herbert pass incomplete short middle intended for Jared Cook,,
2,0:48,4,9,WAS 9,13,6,Tristan Vizcaino 27 yard field goal good,,
2,0:45,,,LAC 35,13,6,"Tristan Vizcaino kicks off 65 yards, touchback.",,
