Unnamed: 0,MIA,CLE
First Downs,18,20
Rush-Yds-TDs,23-20-1,13-47-0
Cmp-Att-Yd-TD-INT,24-38-272-1-1,26-53-289-1-3
Sacked-Yards,4-17,6-45
Net Pass Yards,255,244
Total Yards,275,291
Fumbles-Lost,0-0,2-0
Turnovers,1,3
Penalties-Yards,10-77,9-57
Third Down Conv.,8-16,1-14
Fourth Down Conv.,0-0,2-4
Time of Possession,32:47,27:13
