Quarter,Time,Down,ToGo,Location,CIN,DEN,Detail,EPB,EPA
2,14:09,1,10,DEN 26,0,7,Kyle Orton pass incomplete deep right intended for Eddie Royal,0.670,0.130
2,14:04,2,10,DEN 26,0,7,Willis McGahee right guard for 3 yards (tackle by Rey Maualuga),0.130,-0.160
2,13:17,3,7,DEN 29,0,7,Lance Ball up the middle for -7 yards (tackle by Jonathan Fanene),-0.160,-1.900
2,12:44,4,14,DEN 22,0,7,"Britton Colquitt punts 58 yards, returned by Brandon Tate for 1 yard (tackle by David Bruton). Penalty on Gibril Wilson: Illegal Block Above the Waist, 10 yards",-1.900,0.370
2,12:32,1,10,CIN 11,0,7,Andy Dalton pass incomplete short left intended for Jerome Simpson,-0.370,-0.780
2,12:32,2,10,CIN 11,0,7,Andy Dalton pass complete short right to A.J. Green for 10 yards (tackle by Derrick Harvey),-0.780,0.340
2,11:43,1,10,CIN 21,0,7,Cedric Benson up the middle for no gain (tackle by Joe Mays),0.340,-0.200
2,11:06,2,10,CIN 21,0,7,Andy Dalton pass complete short left to Jerome Simpson for 9 yards (tackle by Andre' Goodman),-0.200,0.300
2,10:37,3,1,CIN 30,0,7,Cedric Benson right tackle for no gain (tackle by Brian Dawkins),0.300,-1.370
2,10:01,4,1,CIN 30,0,7,Kevin Huber punts 46 yards,-1.370,-0.610
2,9:53,1,10,DEN 25,0,7,"Kyle Orton pass complete deep middle to Eric Decker for 19 yards (tackle by Reggie Nelson). Eric Decker fumbles (forced by Reggie Nelson), recovered by Leon Hall at CIN-49 and returned for 10 yards (tackle by Daniel Fells)",0.610,-2.850
2,9:35,1,10,DEN 41,0,7,Cedric Benson left end for 9 yards (tackle by Wesley Woodyard),2.850,3.520
2,8:54,2,1,DEN 32,0,7,Andy Dalton pass complete short left to Andre Caldwell for 9 yards (tackle by Wesley Woodyard),3.520,4.040
2,8:20,1,10,DEN 23,0,7,Andy Dalton pass incomplete short left intended for Colin Cochart (defended by Von Miller),4.040,3.500
2,8:16,2,10,DEN 23,0,7,"Cedric Benson up the middle for 6 yards (tackle by Derrick Harvey). Penalty on Clint Boling: Offensive Holding, 10 yards (no play)",3.500,2.150
2,7:50,2,20,DEN 33,0,7,Andy Dalton pass complete short middle to Cedric Benson for 10 yards (tackle by Joe Mays and Jonathan Wilhite),2.150,2.810
2,7:07,3,10,DEN 23,0,7,Andy Dalton pass complete short right to Brian Leonard for -4 yards (tackle by Wesley Woodyard),2.810,1.670
2,6:39,4,14,DEN 27,3,7,Mike Nugent 45 yard field goal good,1.670,3.000
2,,,,CIN 35,3,7,"Mike Nugent kicks off 65 yards, touchback",0.000,0.280
2,6:33,1,10,DEN 20,3,7,Willis McGahee right guard for 2 yards (tackle by Rey Maualuga),0.280,0.000
2,5:53,2,8,DEN 22,3,7,Willis McGahee up the middle for 8 yards (tackle by Domata Peko),0.000,0.940
2,5:16,1,10,DEN 30,3,7,Kyle Orton pass complete short right to Spencer Larsen for 7 yards (tackle by Nate Clements),0.940,1.340
2,4:36,2,3,DEN 37,3,7,Spencer Larsen up the middle for 4 yards (tackle by Micah Johnson),1.340,1.660
2,3:57,1,10,DEN 41,3,7,Willis McGahee up the middle for 2 yards (tackle by Micah Johnson),1.660,1.390
2,3:25,2,8,DEN 43,3,7,Kyle Orton pass complete short middle to Eric Decker for 14 yards (tackle by Nate Clements),1.390,2.720
2,2:41,,,,3,7,Timeout #1 by Denver Broncos,0.000,2.720
2,2:41,1,10,CIN 43,3,7,Willis McGahee up the middle for 2 yards (tackle by Frostee Rucker and Rey Maualuga),2.720,2.450
2,2:00,2,8,CIN 41,3,7,Kyle Orton pass incomplete short left intended for Eric Decker (defended by Manny Lawson),2.450,1.750
2,1:56,,,,3,7,Timeout #2 by Denver Broncos,0.000,1.750
2,1:56,3,8,CIN 41,3,7,Kyle Orton pass complete short left to Daniel Fells for 9 yards (tackle by Thomas Howard),1.750,3.450
2,1:26,1,10,CIN 32,3,7,Willis McGahee up the middle for 9 yards (tackle by Micah Johnson),3.450,4.120
2,1:06,2,1,CIN 23,3,7,Willis McGahee up the middle for -2 yards (tackle by Micah Johnson),4.120,3.140
2,0:38,3,3,CIN 25,3,7,Lance Ball left end for 17 yards (tackle by Gibril Wilson),3.140,5.370
2,0:33,1,8,CIN 8,3,7,Kyle Orton pass incomplete short left intended for Eric Decker,5.370,4.570
2,0:28,2,8,CIN 8,3,7,Kyle Orton pass incomplete short left intended for Matt Willis,4.570,3.580
2,0:24,3,8,CIN 8,3,7,Kyle Orton sacked by Geno Atkins for -8 yards,3.580,2.380
2,0:16,,,,3,7,Timeout #2 by Cincinnati Bengals,0.000,2.380
2,0:16,4,16,CIN 16,3,10,Matt Prater 34 yard field goal good,2.380,3.000
2,,,,DEN 35,3,10,"Matt Prater kicks off 65 yards, touchback",0.000,0.280
2,0:12,1,10,CIN 20,3,10,Andy Dalton kneels for -2 yards,0.280,-0.630
Quarter,Time,Down,ToGo,Location,CIN,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 35,3,10,"Matt Prater kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,CIN 20,3,10,Cedric Benson right end for -2 yards (tackle by Joe Mays),0.280,-0.630
3,14:21,2,12,CIN 18,3,10,Andy Dalton pass complete short right to Cedric Benson for -3 yards (tackle by Joe Mays),-0.630,-1.860
3,13:38,3,15,CIN 15,3,10,Andy Dalton pass complete short left to Jordan Shipley for 5 yards (tackle by Jonathan Wilhite),-1.860,-2.030
3,13:16,4,10,CIN 20,3,10,Kevin Huber punts 40 yards,-2.030,-1.660
3,13:09,1,10,DEN 41,3,10,Willis McGahee up the middle for 4 yards (tackle by Jonathan Fanene),1.660,1.660
3,12:40,2,6,DEN 45,3,10,"Kyle Orton pass complete short left to Willis McGahee for 5 yards (tackle by Micah Johnson). Penalty on Jonathan Fanene: Roughing the Passer, 15 yards",1.660,3.250
3,12:21,1,10,CIN 35,3,10,Lance Ball up the middle for 3 yards (tackle by Rey Maualuga),3.250,3.110
3,11:40,2,7,CIN 32,3,10,Lance Ball right tackle for 7 yards (tackle by Thomas Howard),3.110,3.910
3,11:03,1,10,CIN 25,3,16,"Kyle Orton pass complete short middle to Eric Decker for 25 yards, touchdown. Penalty on Nate Clements: Horse Collar Tackle, 15 yards",3.910,7.000
3,,,,CIN 2,3,17,Matt Prater kicks extra point good,0.000,0.000
3,,,,,3,17,"Matt Prater kicks off 50 yards, touchback",0.000,0.280
3,10:57,1,10,CIN 20,3,17,Andy Dalton pass complete deep middle to A.J. Green for 26 yards (tackle by Wesley Woodyard),0.280,1.990
3,10:19,1,10,CIN 46,3,17,"Penalty on Von Miller: Neutral Zone Infraction, 5 yards (no play)",1.990,2.720
3,10:00,1,5,DEN 49,3,17,Andy Dalton pass incomplete short middle intended for Jermaine Gresham (defended by Robert Ayers),2.720,2.130
3,9:56,2,5,DEN 49,3,17,Andy Dalton pass complete short right to A.J. Green for 25 yards (tackle by Rahim Moore),2.130,3.970
3,9:26,1,10,DEN 24,3,17,Andy Dalton pass incomplete deep right intended for Jerome Simpson (defended by Cassius Vaughn),3.970,3.430
3,9:20,2,10,DEN 24,3,17,Andy Dalton pass complete short right to Jordan Shipley for 5 yards (tackle by Cassius Vaughn),3.430,3.410
3,9:03,3,5,DEN 19,3,17,Andy Dalton pass incomplete short right intended for Jerome Simpson (defended by Brian Dawkins),3.410,2.240
3,8:59,4,5,DEN 19,6,17,Mike Nugent 37 yard field goal good,2.240,3.000
3,,,,CIN 35,6,17,"Mike Nugent kicks off 73 yards, returned by Cassius Vaughn for 23 yards (tackle by Vincent Rey)",0.000,-0.220
3,8:49,1,10,DEN 15,6,17,Willis McGahee right guard for 1 yard (tackle by Carlos Dunlap),-0.220,-0.580
3,8:08,2,9,DEN 16,6,17,Kyle Orton pass complete short right to Matt Willis for 7 yards (tackle by Nate Clements),-0.580,-0.390
3,7:33,3,2,DEN 23,6,17,Willis McGahee right tackle for 1 yard (tackle by Thomas Howard),-0.390,-1.770
3,7:00,4,1,DEN 24,6,17,"Britton Colquitt punts 49 yards, fair catch by Brandon Tate",-1.770,-0.810
3,6:50,1,10,CIN 28,6,17,Cedric Benson left tackle for 4 yards (tackle by Von Miller),0.810,0.800
3,6:17,2,6,CIN 32,6,17,"Andy Dalton pass incomplete short left intended for Jermaine Gresham (defended by Andre' Goodman). Penalty on Andre' Goodman: Defensive Pass Interference, 5 yards (no play)",0.800,1.400
3,6:12,1,10,CIN 37,6,17,"Andy Dalton pass complete short right to Chris Pressley for -1 yards. Penalty on Colin Cochart: Offensive Holding, 10 yards (no play)",1.400,0.740
3,5:46,1,20,CIN 27,6,17,Andy Dalton pass complete short right to A.J. Green for 10 yards (tackle by Cassius Vaughn),0.740,0.860
3,5:21,2,10,CIN 37,6,17,Andy Dalton pass complete short middle to Jerome Simpson for 31 yards (tackle by Rahim Moore and Cassius Vaughn),0.860,3.450
3,4:41,1,10,DEN 32,6,17,Andy Dalton pass complete short left to Jerome Simpson for 12 yards (tackle by Andre' Goodman),3.450,4.240
3,4:13,1,10,DEN 20,6,17,Andy Dalton pass complete short left to Cedric Benson for 10 yards (tackle by Wesley Woodyard),4.240,4.910
3,3:41,1,10,DEN 10,12,17,"Andy Dalton pass complete short middle to Andre Caldwell for 10 yards, touchdown",4.910,7.000
3,,,,,12,17,"Two Point Attempt: Andy Dalton pass incomplete intended for Jerome Simpson, conversion fails",1.000,-1.000
3,,,,CIN 35,12,17,"Mike Nugent kicks off 65 yards, touchback",0.000,0.280
3,3:36,1,10,DEN 20,12,17,"Kyle Orton pass complete short left to Matt Willis for 10 yards (tackle by Leon Hall). Penalty on Ryan Clady: Offensive Holding, 10 yards (no play)",0.280,-0.760
3,3:00,1,20,DEN 10,12,17,Kyle Orton pass complete short left to Eric Decker for 3 yards (tackle by Rey Maualuga),-0.760,-1.280
3,2:25,2,17,DEN 13,12,17,"Kyle Orton sacked by Micah Johnson for 0 yards. Kyle Orton fumbles (forced by Micah Johnson), recovered by Domata Peko at DEN-14 (tackle by J.D. Walton)",-1.280,-4.650
3,2:18,1,10,DEN 14,12,17,Cedric Benson left tackle for no gain (tackle by Jason Hunter),4.650,4.000
3,1:37,2,10,DEN 14,12,17,Andy Dalton pass incomplete short right intended for Jermaine Gresham (defended by Cassius Vaughn),4.000,3.110
3,1:32,3,10,DEN 14,12,17,Andy Dalton pass complete short left to Brian Leonard for 9 yards (tackle by Rahim Moore),3.110,3.030
3,1:09,4,1,DEN 5,15,17,Mike Nugent 23 yard field goal good,3.030,3.000
3,,,,CIN 35,15,17,"Mike Nugent kicks off 65 yards, touchback",0.000,0.280
3,1:05,1,10,DEN 20,15,17,Willis McGahee right guard for 5 yards (tackle by Manny Lawson),0.280,0.410
3,0:37,2,5,DEN 25,15,17,Willis McGahee left tackle for 7 yards (tackle by Reggie Nelson),0.410,1.070
Quarter,Time,Down,ToGo,Location,CIN,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,DEN 32,15,17,Kyle Orton pass complete short right to Spencer Larsen for 6 yards (tackle by Thomas Howard),1.070,1.340
4,14:22,2,4,DEN 38,15,17,Willis McGahee up the middle for 10 yards (tackle by Frostee Rucker),1.340,2.130
4,13:40,1,10,DEN 48,15,23,"Kyle Orton pass complete deep right to Eric Decker for 52 yards, touchdown",2.130,7.000
4,,,,CIN 2,15,24,Matt Prater kicks extra point good,0.000,0.000
4,,,,DEN 35,15,24,"Matt Prater kicks off 65 yards, touchback",0.000,0.280
4,13:30,1,10,CIN 20,15,24,Andy Dalton sacked by Von Miller for -13 yards,0.280,-1.730
4,12:53,2,23,CIN 7,15,24,Andy Dalton pass complete deep middle to Jerome Simpson for 84 yards (tackle by Cassius Vaughn),-1.730,5.140
4,12:03,1,9,DEN 9,15,24,Andy Dalton pass complete short left to Jermaine Gresham for 4 yards (tackle by Wesley Woodyard),5.140,5.150
4,11:23,2,5,DEN 5,21,24,"Andy Dalton pass complete short left to A.J. Green for 5 yards, touchdown",5.150,7.000
4,,,,DEN 2,22,24,Mike Nugent kicks extra point good,0.000,0.000
4,,,,CIN 35,22,24,"Mike Nugent kicks off 65 yards, touchback",0.000,0.280
4,11:17,1,10,DEN 20,22,24,Willis McGahee left tackle for 4 yards (tackle by Carlos Dunlap),0.280,0.270
4,10:39,2,6,DEN 24,22,24,Willis McGahee up the middle for 1 yard (tackle by Domata Peko),0.270,-0.300
4,9:59,3,5,DEN 25,22,24,Kyle Orton pass incomplete short left intended for Eric Decker (defended by Frostee Rucker),-0.300,-1.700
4,9:54,4,5,DEN 25,22,24,"Britton Colquitt punts 59 yards, returned by Brandon Tate for 9 yards (tackle by Chris Harris)",-1.700,-0.610
4,9:43,1,10,CIN 25,22,24,Cedric Benson left guard for 5 yards (tackle by Brodrick Bunkley and Joe Mays),0.610,0.740
4,9:05,2,5,CIN 30,22,24,Cedric Benson right guard for 10 yards (tackle by Wesley Woodyard),0.740,1.600
4,8:30,1,10,CIN 40,22,24,Cedric Benson right tackle for 3 yards (tackle by Brian Dawkins and Joe Mays),1.600,1.460
4,7:49,2,7,CIN 43,22,24,"Andy Dalton pass incomplete deep right intended for A.J. Green (defended by Cassius Vaughn). Penalty on Cassius Vaughn: Defensive Pass Interference, 16 yards (no play)",1.460,2.850
4,7:43,1,10,DEN 41,22,24,Cedric Benson left tackle for 2 yards (tackle by Robert Ayers),2.850,2.580
4,6:58,2,8,DEN 39,22,24,Andy Dalton pass incomplete short left intended for A.J. Green,2.580,1.880
4,6:54,3,8,DEN 39,22,24,Andy Dalton pass incomplete short left intended for Jerome Simpson,1.880,0.660
4,6:49,4,8,DEN 39,22,24,"Kevin Huber punts 33 yards, fair catch by Eric Decker",0.660,0.380
4,6:41,1,10,DEN 7,22,24,Willis McGahee up the middle for 1 yard (tackle by Pat Sims),-0.380,-0.710
4,6:05,2,9,DEN 8,22,24,Kyle Orton pass incomplete short left intended for Daniel Fells (defended by Manny Lawson),-0.710,-1.300
4,5:59,3,9,DEN 8,22,24,Kyle Orton pass incomplete short left intended for Matt Willis,-1.300,-2.490
4,5:55,,,,22,24,Timeout #1 by Cincinnati Bengals,0.000,-2.490
4,5:55,4,9,DEN 8,22,24,"Britton Colquitt punts 82 yards, out of bounds. Penalty on Chris Harris: Unsportsmanlike Conduct, 4 yards (no play)",-2.490,-2.490
4,5:40,4,13,DEN 4,22,24,"Britton Colquitt punts 57 yards, returned by Brandon Tate for 16 yards (tackle by Virgil Green)",-2.490,-2.590
4,5:33,1,10,DEN 45,22,24,Cedric Benson up the middle for 4 yards (tackle by Wesley Woodyard),2.590,2.580
4,4:51,2,6,DEN 41,22,24,Cedric Benson up the middle for no gain (tackle by Von Miller),2.580,1.880
4,4:09,3,6,DEN 41,22,24,Andy Dalton right end for 5 yards (tackle by Joe Mays),1.880,0.890
4,3:09,4,1,DEN 36,22,24,Andy Dalton pass incomplete short right intended for A.J. Green (defended by Von Miller),0.890,-1.330
4,3:04,1,10,DEN 36,22,24,"Willis McGahee left end for 9 yards (tackle by Leon Hall). Penalty on Ryan Clady: Offensive Holding, 10 yards (no play)",1.330,0.670
4,2:57,1,20,DEN 26,22,24,Willis McGahee up the middle for 2 yards (tackle by Micah Johnson),0.670,-0.290
4,2:51,,,,22,24,Timeout #2 by Cincinnati Bengals,0.000,-0.290
4,2:50,2,18,DEN 28,22,24,Willis McGahee left tackle for 4 yards (tackle by Carlos Dunlap),-0.290,-0.430
4,2:46,,,,22,24,Timeout #3 by Cincinnati Bengals,0.000,-0.430
4,2:45,3,14,DEN 32,22,24,Willis McGahee right end for 3 yards (tackle by Geno Atkins),-0.430,-1.040
4,2:39,4,11,DEN 35,22,24,"Britton Colquitt punts 55 yards, returned by Brandon Tate for no gain. Penalty on Rey Maualuga: Offensive Holding, 5 yards",-1.040,0.380
4,2:25,1,10,CIN 5,22,24,Andy Dalton pass complete short left to Jermaine Gresham for 4 yards (tackle by Andre' Goodman and Wesley Woodyard),-0.380,-0.490
4,2:01,2,6,CIN 9,22,24,Andy Dalton pass complete short left to A.J. Green for 9 yards (tackle by Andre' Goodman),-0.490,0.040
4,1:58,1,10,CIN 18,22,24,Andy Dalton pass complete deep right to A.J. Green for 22 yards (tackle by Rahim Moore),0.040,1.600
4,1:35,1,10,CIN 40,22,24,Andy Dalton pass incomplete short left intended for Andre Caldwell,1.600,1.050
4,1:31,2,10,CIN 40,22,24,Andy Dalton pass complete short middle to Andre Caldwell for 8 yards (tackle by Jonathan Wilhite and Wesley Woodyard),1.050,1.420
4,1:10,3,2,CIN 48,22,24,Andy Dalton pass complete short left to A.J. Green for 4 yards,1.420,2.390
4,1:03,1,10,DEN 48,22,24,Andy Dalton pass incomplete deep right intended for Jerome Simpson,2.390,1.850
4,0:57,2,10,DEN 48,22,24,Andy Dalton sacked by Jonathan Wilhite for -9 yards,1.850,-0.030
4,0:33,3,19,CIN 43,22,24,Andy Dalton pass incomplete deep middle intended for Jermaine Gresham (defended by Wesley Woodyard),-0.030,-0.520
4,0:30,4,19,CIN 43,22,24,Andy Dalton pass incomplete deep right intended for A.J. Green,-0.520,-2.720
4,0:23,1,10,CIN 43,22,24,Kyle Orton kneels for -2 yards,2.720,1.910
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
