Quarter,Time,Tm,Detail,CIN,DEN
1.0,6:30,Broncos,Willis McGahee 1 yard rush (Matt Prater kick),0,7
2.0,6:33,Bengals,Mike Nugent 45 yard field goal,3,7
,0:12,Broncos,Matt Prater 34 yard field goal,3,10
3.0,10:57,Broncos,Eric Decker 25 yard pass from Kyle Orton (Matt Prater kick),3,17
,8:54,Bengals,Mike Nugent 37 yard field goal,6,17
,3:36,Bengals,Andre Caldwell 10 yard pass from Andy Dalton (pass failed),12,17
,1:05,Bengals,Mike Nugent 23 yard field goal,15,17
4.0,13:30,Broncos,Eric Decker 52 yard pass from Kyle Orton (Matt Prater kick),15,24
,11:17,Bengals,A.J. Green 5 yard pass from Andy Dalton (Mike Nugent kick),22,24
