Quarter,Time,Down,ToGo,Location,ATL,CIN,Detail,EPB,EPA
1,7:03,2,8,ATL 27,0,0,Jeremy Hill right tackle for 7 yards (tackle by Joplo Bartu),3.370,3.600
1,6:44,3,1,ATL 20,0,0,Andy Dalton right guard for 3 yards (tackle by Joplo Bartu),3.600,4.440
1,6:05,1,10,ATL 17,0,0,Andy Dalton for 4 yards (tackle by Joplo Bartu),4.440,4.500
1,5:33,2,6,ATL 13,0,0,Andy Dalton pass incomplete short right intended for Mohamed Sanu,4.500,3.680
1,5:28,3,6,ATL 13,0,0,Andy Dalton pass incomplete short left intended for Dane Sanzenbacher,3.680,2.590
1,5:23,4,6,ATL 13,0,3,Mike Nugent 31 yard field goal good,2.590,3.000
1,,,,CIN 35,,,"Mike Nugent kicks off 67 yards, returned by Devin Hester for 34 yards (tackle by Reggie Nelson)",,
1,5:13,1,10,ATL 32,0,3,Matt Ryan pass complete short left to Levine Toilolo for 3 yards (tackle by Emmanuel Lamur),1.070,0.930
1,4:37,2,7,ATL 35,0,3,Steven Jackson right tackle for 5 yards (tackle by Wallace Gilberry),0.930,0.890
1,3:57,3,2,ATL 40,0,3,"Matt Ryan pass complete short left to Jacquizz Rodgers for 2 yards (tackle by Leon Hall). Penalty on Adam Jones: Defensive Holding, 5 yards (no play)",0.890,1.930
1,3:43,1,10,ATL 45,0,3,Matt Ryan up the middle for 12 yards (tackle by Adam Jones),1.930,2.720
1,3:05,1,10,CIN 43,0,3,Jacquizz Rodgers right tackle for 3 yards (tackle by Wallace Gilberry),2.720,2.580
1,2:36,2,7,CIN 40,0,3,Jacquizz Rodgers right guard for 9 yards (tackle by Leon Hall),2.580,3.510
1,2:07,1,10,CIN 31,0,3,Steven Jackson right guard for 3 yards (tackle by Vontaze Burfict and Reggie Nelson),3.510,3.370
1,1:24,2,7,CIN 28,0,3,Matt Ryan pass incomplete short right intended for Harry Douglas (defended by Terence Newman),3.370,3.370
1,1:18,2,7,CIN 28,0,3,Timeout #1 by Cincinnati Bengals,3.370,2.680
1,1:18,3,7,CIN 28,0,3,Matt Ryan pass incomplete short middle intended for Julio Jones (defended by Leon Hall),2.680,2.680
1,1:13,3,7,CIN 28,0,3,Timeout #2 by Cincinnati Bengals,2.680,1.590
1,1:13,4,7,CIN 28,3,3,Matt Bryant 46 yard field goal good,1.590,3.000
1,1:13,,,ATL 35,3,3,"Matthew Bosher kicks off 68 yards, returned by Brandon Tate for 29 yards (tackle by Nathan Stupar)",0.000,-0.670
1,1:03,1,10,CIN 26,3,3,Mohamed Sanu pass complete deep right to Brandon Tate for 50 yards (tackle by Dwight Lowery),0.670,3.970
1,0:53,1,10,ATL 24,3,3,Giovani Bernard left guard for 1 yard (tackle by Paul Worrilow and Dwight Lowery),3.970,3.570
1,0:18,2,9,ATL 23,3,3,Giovani Bernard left guard for 3 yards (tackle by Paul Worrilow),3.570,3.270
Quarter,Time,Down,ToGo,Location,ATL,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,ATL 20,3,3,Andy Dalton pass incomplete deep left intended for Dane Sanzenbacher,3.270,2.150
2,14:55,4,6,ATL 20,3,3,Mike Nugent 38 yard field goal no good,2.150,-0.810
2,14:50,1,10,ATL 28,3,3,Matt Ryan pass complete short right to Antone Smith for 4 yards (tackle by Terence Newman and Vontaze Burfict),0.810,0.800
2,14:16,2,6,ATL 32,3,3,Matt Ryan pass complete short left to Julio Jones for no gain,0.800,0.100
2,13:34,3,6,ATL 32,3,3,Matt Ryan pass incomplete short middle intended for Roddy White,0.100,-1.240
2,13:30,4,6,ATL 32,3,3,"Matthew Bosher punts 43 yards, returned by Adam Jones for 9 yards (tackle by Nathan Stupar). Penalty on Darqueze Dennard: Offensive Holding, 10 yards",-1.240,0.220
2,13:20,1,10,CIN 15,3,3,Jeremy Hill right end for 5 yards (tackle by Desmond Trufant),-0.220,0.080
2,12:41,2,5,CIN 20,3,3,Andy Dalton pass incomplete deep middle intended for Brandon Tate (defended by Desmond Trufant),0.080,-0.760
2,12:34,3,5,CIN 20,3,3,Andy Dalton pass complete short middle to Dane Sanzenbacher for 16 yards (tackle by Dwight Lowery),-0.760,1.330
2,11:53,1,10,CIN 36,3,3,Jeremy Hill right end for 5 yards (tackle by Kroy Biermann),1.330,1.470
2,11:22,2,5,CIN 41,3,3,Andy Dalton pass complete short middle to Giovani Bernard for 24 yards (tackle by Paul Worrilow),1.470,3.250
2,11:06,1,10,ATL 35,3,3,Andy Dalton pass complete short left to Mohamed Sanu for no gain,3.250,2.700
2,10:21,2,10,ATL 35,3,3,Andy Dalton pass incomplete deep right intended for Brandon Tate,2.700,2.010
2,10:14,3,10,ATL 35,3,3,Andy Dalton pass complete short left to Jeremy Hill for 4 yards (tackle by Paul Worrilow and Malliciah Goodman),2.010,1.340
2,9:43,4,6,ATL 31,3,3,Mike Nugent 49 yard field goal no good,1.340,-1.530
2,9:37,1,10,ATL 39,3,3,Steven Jackson right tackle for 13 yards (tackle by Emmanuel Lamur),1.530,2.390
2,9:04,1,10,CIN 48,3,3,Matt Ryan pass incomplete deep middle intended for Julio Jones (defended by George Iloka),2.390,1.850
2,8:55,2,10,CIN 48,3,3,Matt Ryan sacked by Carlos Dunlap for -10 yards,1.850,-0.160
2,8:13,3,20,ATL 42,3,3,Matt Ryan pass complete short left to Julio Jones for 11 yards (tackle by Emmanuel Lamur and Reggie Nelson),-0.160,0.130
2,7:39,4,9,CIN 47,3,3,"Matthew Bosher punts 38 yards, fair catch by Brandon Tate",0.130,0.380
2,7:31,1,10,CIN 9,3,3,Giovani Bernard up the middle for 3 yards (tackle by Malliciah Goodman and William Moore),-0.380,-0.560
2,6:56,2,7,CIN 12,3,3,Giovani Bernard right tackle for 9 yards (tackle by William Moore and Paul Worrilow),-0.560,0.340
2,6:24,1,10,CIN 21,3,3,Giovani Bernard left tackle for 3 yards (tackle by Paul Worrilow),0.340,0.210
2,5:46,2,7,CIN 24,3,3,Andy Dalton pass complete short middle to Giovani Bernard for 46 yards (tackle by William Moore),0.210,3.580
2,4:58,1,10,ATL 30,3,3,Jeremy Hill up the middle for 13 yards (tackle by William Moore),3.580,4.440
2,4:29,1,10,ATL 17,3,3,Jeremy Hill right tackle for 9 yards (tackle by Joplo Bartu),4.440,5.480
2,3:58,2,1,ATL 8,3,3,Giovani Bernard left tackle for -1 yards (tackle by Paul Soliai),5.480,4.570
2,3:16,3,2,ATL 9,3,3,Giovani Bernard right guard for 5 yards (tackle by Robert McClain),4.570,6.280
2,2:46,1,4,ATL 4,3,3,Giovani Bernard right guard for no gain (tackle by Paul Worrilow),6.280,5.340
2,2:15,2,4,ATL 4,3,9,"Giovani Bernard right tackle for 4 yards, touchdown",5.340,7.000
2,2:15,,,ATL 2,3,10,Mike Nugent kicks extra point good,0.000,0.000
2,2:15,,,CIN 35,3,10,"Mike Nugent kicks off 71 yards, returned by Devin Hester for 17 yards (tackle by James Wright)",0.000,0.370
2,2:06,1,10,ATL 11,3,10,Matt Ryan pass complete short right to Roddy White for 1 yard (tackle by Terence Newman),-0.370,-0.710
2,1:59,2,9,ATL 12,3,10,Matt Ryan pass incomplete short middle intended for Jacquizz Rodgers,-0.710,-1.300
2,1:48,3,9,ATL 12,3,10,Matt Ryan pass complete deep middle to Julio Jones for 20 yards (tackle by Terence Newman). Penalty on Vontaze Burfict: Illegal Use of Hands (Declined),-1.300,1.070
2,1:40,1,10,ATL 32,3,10,Matt Ryan pass complete short right to Roddy White for 6 yards (tackle by Leon Hall),1.070,1.340
2,1:20,2,4,ATL 38,3,10,Matt Ryan pass incomplete short right intended for Harry Douglas,1.340,0.630
2,1:15,3,4,ATL 38,3,10,Matt Ryan pass incomplete short left intended for Antone Smith,0.630,-0.850
2,1:06,4,4,ATL 38,3,10,"Matthew Bosher punts 43 yards, returned by Adam Jones for 24 yards (tackle by Prince Shembo)",-0.850,-1.800
2,0:51,1,10,CIN 43,3,10,Giovani Bernard left tackle for -1 yards (tackle by Jonathan Babineaux),1.800,1.800
2,0:44,1,10,CIN 43,3,10,Timeout #1 by Atlanta Falcons,1.800,1.120
2,0:44,2,11,CIN 42,3,10,Andy Dalton pass complete short middle to Dane Sanzenbacher for 26 yards (tackle by Dwight Lowery),1.120,3.450
2,0:37,1,10,ATL 32,3,10,"Andy Dalton pass complete short right to Mohamed Sanu for 1 yard (tackle by Robert McClain). Penalty on Dane Sanzenbacher: Offensive Holding, 10 yards (no play)",3.450,2.790
2,0:32,1,20,ATL 42,3,10,Giovani Bernard right tackle for 4 yards (tackle by Jonathan Massaquoi),2.790,2.090
2,0:10,2,16,ATL 38,3,10,Andy Dalton pass incomplete short middle intended for Giovani Bernard,2.090,1.420
2,0:06,3,16,ATL 38,3,10,Andy Dalton pass complete short right to Jermaine Gresham for 1 yard (tackle by Desmond Trufant),1.420,1.420
2,0:01,3,16,ATL 38,3,10,Timeout #3 by Cincinnati Bengals,1.420,1.420
2,0:01,3,16,ATL 38,3,10,Timeout #2 by Atlanta Falcons,1.420,0.790
2,0:01,4,15,ATL 37,3,10,Mike Nugent 55 yard field goal no good,0.790,1.860
Quarter,Time,Down,ToGo,Location,ATL,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,3,10,"Matthew Bosher kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,CIN 20,3,10,Andy Dalton pass complete short left to Jermaine Gresham for 5 yards (tackle by Dwight Lowery),0.280,0.410
3,14:29,2,5,CIN 25,3,10,Giovani Bernard left end for -3 yards (tackle by Robert Alford),0.410,-0.690
3,13:55,3,8,CIN 22,3,10,Andy Dalton pass incomplete,-0.690,-1.900
3,13:50,4,8,CIN 22,3,10,"Kevin Huber punts 49 yards, returned by Devin Hester for 7 yards (tackle by Emmanuel Lamur)",-1.900,-1.330
3,13:39,1,10,ATL 36,3,10,Steven Jackson right end for no gain (tackle by Carlos Dunlap and Rey Maualuga),1.330,0.790
3,13:05,2,10,ATL 36,3,10,Matt Ryan pass complete short left to Steven Jackson for 7 yards (tackle by Domata Peko),0.790,1.030
3,12:23,3,3,ATL 43,3,10,Matt Ryan pass incomplete short middle intended for Roddy White (defended by Carlos Dunlap),1.030,-0.520
3,12:19,4,3,ATL 43,3,10,"Matthew Bosher punts 57 yards, touchback",-0.520,-0.280
3,12:10,1,10,CIN 20,3,10,Giovani Bernard up the middle for 3 yards (tackle by Ra'Shede Hageman and Paul Worrilow),0.280,0.140
3,11:51,2,7,CIN 23,3,10,Giovani Bernard left end for 1 yard (tackle by Paul Worrilow),0.140,-0.430
3,11:09,3,6,CIN 24,3,16,"Andy Dalton pass complete short middle to Mohamed Sanu for 76 yards, touchdown",-0.430,7.000
3,11:09,,,ATL 2,3,17,Mike Nugent kicks extra point good,0.000,0.000
3,11:09,,,CIN 35,3,17,"Mike Nugent kicks off 67 yards, returned by Devin Hester for 31 yards (tackle by Terence Newman)",0.000,-0.870
3,10:52,1,10,ATL 29,3,17,Matt Ryan pass incomplete short middle intended for Levine Toilolo is intercepted by Leon Hall at ATL-40 and returned for -3 yards,0.870,-2.720
3,10:42,1,10,ATL 43,3,17,Jeremy Hill left end for 1 yard (tackle by Paul Soliai),2.720,2.310
3,10:05,2,9,ATL 42,3,17,Andy Dalton pass complete short middle to Jermaine Gresham for 19 yards (tackle by Robert Alford and Prince Shembo),2.310,4.040
3,9:26,1,10,ATL 23,3,17,Jeremy Hill left guard for 3 yards (tackle by Kroy Biermann and Prince Shembo),4.040,3.900
3,8:58,2,7,ATL 20,3,17,Jeremy Hill left guard for 2 yards (tackle by Prince Shembo),3.900,3.490
3,8:19,3,5,ATL 18,3,17,Andy Dalton pass complete short left to Mohamed Sanu for 8 yards (tackle by Robert Alford),3.490,4.910
3,7:46,1,10,ATL 10,3,17,Jeremy Hill right guard for 5 yards (tackle by Prince Shembo and Jonathan Massaquoi),4.910,5.150
3,7:10,2,5,ATL 5,3,17,Jeremy Hill right tackle for 4 yards (tackle by Corey Peters),5.150,5.170
3,6:32,3,1,ATL 1,3,23,"Jeremy Hill left guard for 1 yard, touchdown",5.170,7.000
3,6:32,,,ATL 2,3,24,Mike Nugent kicks extra point good,0.000,0.000
3,6:32,,,CIN 35,3,24,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
3,6:28,1,10,ATL 20,3,24,Jacquizz Rodgers right guard for 4 yards (tackle by Devon Still and Domata Peko),0.280,0.270
3,5:51,2,6,ATL 24,3,24,Jacquizz Rodgers right guard for 5 yards (tackle by Devon Still),0.270,0.230
3,5:09,3,1,ATL 29,3,24,Jacquizz Rodgers right guard for 2 yards (tackle by Emmanuel Lamur and Domata Peko),0.230,1.000
3,4:36,1,10,ATL 31,3,24,Matt Ryan pass complete deep middle to Roddy White for 19 yards (tackle by Terence Newman),1.000,2.260
3,4:14,1,10,,3,24,"Devonta Freeman left tackle for 7 yards (tackle by Leon Hall). Penalty on Joe Hawley: Offensive Holding, 10 yards (no play)",2.260,1.600
3,3:59,1,20,ATL 40,3,24,Matt Ryan pass complete short middle to Harry Douglas for 12 yards (tackle by Vontaze Burfict),1.600,1.980
3,3:33,2,8,CIN 48,3,24,Matt Ryan up the middle for 6 yards (tackle by Vontaze Burfict),1.980,2.080
3,3:12,3,2,CIN 42,3,24,Matt Ryan pass complete short right to Roddy White for 8 yards (tackle by Terence Newman),2.080,3.310
3,2:53,1,10,CIN 34,3,24,Steven Jackson left guard for 6 yards (tackle by Emmanuel Lamur),3.310,3.580
3,2:28,2,4,CIN 28,3,24,Steven Jackson right tackle for 7 yards (tackle by Devon Still),3.580,4.170
3,1:49,1,10,CIN 21,3,24,Matt Ryan pass incomplete deep middle intended for Harry Douglas is intercepted by George Iloka at CIN-2 and returned for 14 yards,4.170,0.140
3,1:39,1,10,CIN 16,3,24,Giovani Bernard right tackle for 4 yards (tackle by Paul Soliai),-0.140,0.010
3,1:07,2,6,CIN 20,3,24,Giovani Bernard left end for 12 yards (tackle by Joplo Bartu),0.010,1.070
3,0:30,1,10,CIN 32,3,24,Jeremy Hill left end for 6 yards (tackle by Paul Worrilow and Joplo Bartu),1.070,1.340
Quarter,Time,Down,ToGo,Location,ATL,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,CIN 38,3,24,"Giovani Bernard left end for 5 yards (tackle by Joplo Bartu). Penalty on Andrew Whitworth: Offensive Holding (Offsetting), Penalty on Joplo Bartu: Horse Collar Tackle (Offsetting) (no play)",1.340,1.340
4,14:50,2,4,CIN 38,3,24,Giovani Bernard right tackle for 9 yards (tackle by Joplo Bartu),1.340,2.060
4,14:15,1,10,CIN 47,3,24,Giovani Bernard right end for 1 yard (tackle by Joplo Bartu),2.060,1.650
4,13:30,2,9,CIN 48,3,24,Andy Dalton pass incomplete short left intended for James Wright,1.650,0.960
4,13:23,3,9,CIN 48,3,24,Andy Dalton pass complete short right to Giovani Bernard for -3 yards (tackle by Dwight Lowery and Paul Worrilow),0.960,-0.390
4,13:02,4,12,CIN 45,3,24,"Penalty on Marquis Flowers: False Start, 5 yards (no play)",-0.390,-0.720
4,12:45,4,17,CIN 40,3,24,"Kevin Huber punts 37 yards, fair catch by Devin Hester",-0.720,-0.480
4,12:34,1,10,ATL 23,3,24,Steven Jackson left guard for 3 yards (tackle by Leon Hall and Vincent Rey),0.480,0.340
4,12:02,2,7,ATL 26,3,24,Matt Ryan up the middle for 10 yards (tackle by Terence Newman),0.340,1.330
4,11:34,1,10,ATL 36,3,24,Steven Jackson left tackle for 5 yards (tackle by Wallace Gilberry),1.330,1.470
4,11:01,2,5,ATL 41,3,24,Matt Ryan pass complete deep middle to Julio Jones for 24 yards (tackle by George Iloka),1.470,3.250
4,10:24,1,10,CIN 35,3,24,Matt Ryan pass complete short left to Antone Smith for 15 yards (tackle by Emmanuel Lamur),3.250,4.240
4,9:49,1,10,CIN 20,3,24,Matt Ryan pass incomplete short left intended for Julio Jones (defended by Adam Jones),4.240,3.690
4,9:44,2,10,CIN 20,3,24,Matt Ryan sacked by Reggie Nelson for -9 yards,3.690,1.820
4,9:36,3,19,CIN 29,3,24,"Matt Ryan pass complete short right to Jacquizz Rodgers for 9 yards (tackle by Terence Newman). Penalty on Adam Jones: Defensive Holding, 5 yards (no play)",1.820,1.820
4,9:19,3,19,CIN 29,3,24,Timeout #1 by Cincinnati Bengals,1.820,3.970
4,9:19,1,10,CIN 24,3,24,Matt Ryan pass incomplete short right intended for Julio Jones (defended by Terence Newman),3.970,3.430
4,9:08,2,10,CIN 24,3,24,Matt Ryan pass complete short left to Julio Jones for 10 yards (tackle by Adam Jones),3.430,4.650
4,8:41,1,10,CIN 14,9,24,"Matt Ryan pass complete short left to Julio Jones for 14 yards, touchdown",4.650,7.000
4,8:41,,,CIN 2,10,24,Matt Bryant kicks extra point good,0.000,0.000
4,8:35,1,10,CIN 14,10,24,Timeout #2 by Cincinnati Bengals,4.650,0.000
4,8:41,,,CIN 14,10,24,--,0.000,-1.660
4,8:33,1,10,CIN 41,10,24,Giovani Bernard right guard for 4 yards (tackle by Paul Worrilow and Paul Soliai),1.660,1.660
4,7:54,2,6,CIN 45,10,24,Giovani Bernard right tackle for 3 yards (tackle by Paul Worrilow and Kroy Biermann),1.660,1.360
4,7:08,3,3,CIN 48,10,24,Andy Dalton pass complete short right to Giovani Bernard for 2 yards (tackle by Prince Shembo),1.360,-0.060
4,6:24,4,1,,10,24,"Kevin Huber punts 48 yards. Penalty on Desmond Trufant: Illegal Block Above the Waist, 1 yards",-0.060,0.380
4,6:12,1,10,ATL 1,10,24,Steven Jackson right tackle for 1 yard (tackle by Domata Peko),-0.380,-0.710
4,5:29,2,9,ATL 2,10,24,Matt Ryan pass complete short right to Levine Toilolo for 10 yards (tackle by Emmanuel Lamur and Terence Newman),-0.710,-0.350
4,4:53,1,10,ATL 12,10,24,Matt Ryan pass incomplete,-0.350,-0.780
4,4:47,2,10,ATL 12,10,24,Matt Ryan pass incomplete short right intended for Roddy White (defended by Terence Newman),-0.780,-1.420
4,4:44,3,10,ATL 12,10,24,Matt Ryan pass incomplete deep middle intended for Julio Jones,-1.420,-2.490
4,4:38,4,10,ATL 12,10,24,"Penalty on Matthew Bosher: Delay of Game, 5 yards (no play)",-2.490,-2.490
4,4:38,4,15,ATL 7,10,24,"Matthew Bosher punts 48 yards, returned by Adam Jones for 2 yards (tackle by Josh Harris)",-2.490,-2.060
4,4:29,1,10,CIN 47,10,24,Jeremy Hill right end for 5 yards (tackle by Prince Shembo and William Moore),2.060,2.060
4,4:19,1,10,CIN 47,10,24,Timeout #1 by Atlanta Falcons,2.060,2.190
4,4:19,2,5,ATL 48,10,24,Jeremy Hill up the middle for 6 yards (tackle by Paul Worrilow),2.190,2.790
4,3:36,1,10,ATL 42,10,24,Jeremy Hill right end for 2 yards (tackle by Paul Soliai and Corey Peters),2.790,2.790
4,3:28,1,10,ATL 42,10,24,Timeout #2 by Atlanta Falcons,2.790,2.510
4,3:28,2,8,ATL 40,10,24,Giovani Bernard right tackle for 4 yards (tackle by Ra'Shede Hageman),2.510,2.510
4,3:20,2,8,ATL 40,10,24,Timeout #3 by Atlanta Falcons,2.510,2.340
4,3:20,3,4,ATL 36,10,24,Giovani Bernard left tackle for no gain (tackle by Kroy Biermann),2.340,0.890
4,2:31,4,4,ATL 36,10,24,"Penalty on CIN: Delay of Game, 5 yards (no play)",0.890,0.530
4,2:31,4,9,ATL 41,10,24,Kevin Huber punts 37 yards,0.530,0.380
4,2:18,1,10,ATL 4,10,24,Matt Ryan pass complete short middle to Julio Jones for 9 yards (tackle by Adam Jones),-0.380,-0.120
4,2:03,2,1,ATL 13,10,24,Matt Ryan pass complete deep left to Harry Douglas for 16 yards (tackle by Reggie Nelson),-0.120,0.870
4,1:56,1,10,ATL 29,10,24,"Matt Ryan pass incomplete short right intended for Devonta Freeman. Penalty on Lamar Holmes: Unnecessary Roughness, 15 yards",0.870,-1.830
4,1:50,2,25,ATL 14,10,24,Matt Ryan pass complete short right to Devonta Freeman for 4 yards (tackle by Leon Hall),-1.830,-2.040
4,1:24,3,21,ATL 18,10,24,Matt Ryan pass complete short right to Devonta Freeman for 18 yards (tackle by Emmanuel Lamur),-2.040,-0.980
4,1:02,4,3,ATL 36,10,24,Matt Ryan pass complete short left to Harry Douglas for 5 yards (tackle by Leon Hall),-0.980,1.660
4,0:55,1,10,ATL 41,10,24,Matt Ryan pass incomplete short middle intended for Antone Smith (defended by Emmanuel Lamur),1.660,1.120
4,0:47,2,10,ATL 41,10,24,"Matt Ryan pass incomplete short middle intended for Roddy White. Penalty on Roddy White: Unnecessary Roughness, 15 yards",1.120,-1.550
4,0:42,3,25,ATL 26,10,24,Matt Ryan pass incomplete deep left intended for Julio Jones (defended by Reggie Nelson),-1.550,-1.630
4,0:35,4,25,ATL 26,10,24,Matt Ryan pass incomplete deep right intended for Harry Douglas is intercepted by George Iloka at CIN-43 and returned for 28 yards,-1.630,-3.640
4,0:24,1,10,ATL 29,10,24,Andy Dalton kneels for -1 yards,3.640,2.970
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
