Quarter,Time,Tm,Detail,ATL,CIN
1.0,5:19,Bengals,Mike Nugent 31 yard field goal,0,3
,1:08,Falcons,Matt Bryant 46 yard field goal,3,3
2.0,2:11,Bengals,Giovani Bernard 4 yard rush (Mike Nugent kick),3,10
3.0,10:58,Bengals,Mohamed Sanu 76 yard pass from Andy Dalton (Mike Nugent kick),3,17
,6:28,Bengals,Jeremy Hill 1 yard rush (Mike Nugent kick),3,24
4.0,8:35,Falcons,Julio Jones 14 yard pass from Matt Ryan (Matt Bryant kick),10,24
