Unnamed: 0,ATL,CIN
First Downs,19,21
Rush-Yds-TDs,19-97-0,45-170-2
Cmp-Att-Yd-TD-INT,24-44-231-1-3,16-24-302-1-0
Sacked-Yards,2-19,0-0
Net Pass Yards,212,302
Total Yards,309,472
Fumbles-Lost,0-0,0-0
Turnovers,3,0
Penalties-Yards,7-56,7-55
Third Down Conv.,3-12,6-14
Fourth Down Conv.,1-2,0-0
Time of Possession,27:01,32:59
