Quarter,Time,Down,ToGo,Location,NOR,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Thomas Morstead kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,PIT 20,0,0,Ben Roethlisberger pass incomplete deep middle intended for Markus Wheaton,0.280,-0.270
1,14:51,2,10,PIT 20,0,0,Le'Veon Bell left tackle for 3 yards (tackle by Parys Haralson and John Jenkins),-0.270,-0.560
1,14:13,3,7,PIT 23,0,0,Ben Roethlisberger pass complete short right to Antonio Brown for 8 yards (tackle by Corey White),-0.560,1.000
1,13:30,1,10,PIT 31,0,0,Ben Roethlisberger pass complete short middle to Martavis Bryant for 23 yards (tackle by Pierre Warren and Patrick Robinson),1.000,2.520
1,12:47,1,10,NOR 46,0,0,Le'Veon Bell up the middle for 4 yards (tackle by Akiem Hicks),2.520,2.520
1,12:05,2,6,NOR 42,0,0,Ben Roethlisberger pass incomplete,2.520,1.820
1,11:57,3,6,NOR 42,0,0,Ben Roethlisberger pass incomplete short middle intended for Martavis Bryant,1.820,0.460
1,11:52,4,6,NOR 42,0,0,Brad Wing punts 28 yards,0.460,0.280
1,11:44,1,10,NOR 14,0,0,Drew Brees pass complete short left to Pierre Thomas for 13 yards (tackle by James Harrison and William Gay),-0.280,0.740
1,11:18,1,10,NOR 27,0,0,"Drew Brees pass incomplete deep middle intended for Nick Toon. Penalty on Terron Armstead: Offensive Holding, 10 yards (no play)",0.740,-0.170
1,11:12,1,20,NOR 17,0,0,Mark Ingram left tackle for 5 yards (tackle by Jason Worilds and Lawrence Timmons),-0.170,-0.480
1,10:37,2,15,NOR 22,0,0,Drew Brees pass complete short right to Travaris Cadet for 5 yards (tackle by Jason Worilds and Lawrence Timmons),-0.480,-0.490
1,9:54,3,10,NOR 27,0,0,Drew Brees pass incomplete short right intended for Marques Colston (defended by Brice McCain),-0.490,-1.570
1,9:49,4,10,NOR 27,0,0,"Thomas Morstead punts 38 yards, out of bounds",-1.570,-1.270
1,9:42,1,10,PIT 35,0,0,Le'Veon Bell up the middle for 3 yards (tackle by David Hawthorne),1.270,1.130
1,8:59,2,7,PIT 38,0,0,Le'Veon Bell left tackle for 12 yards (tackle by Kenny Vaccaro and Pierre Warren),1.130,2.260
1,8:20,1,10,PIT 50,0,0,Le'Veon Bell left tackle for 18 yards (tackle by Patrick Robinson),2.260,3.450
1,7:31,1,10,NOR 32,0,0,Le'Veon Bell up the middle for 1 yard (tackle by David Hawthorne and Kenny Vaccaro),3.450,3.040
1,6:48,2,9,NOR 31,0,0,"Penalty on Kelvin Beachum: False Start, 5 yards (no play)",3.040,2.360
1,6:25,2,14,NOR 36,0,0,Ben Roethlisberger pass incomplete deep left intended for Markus Wheaton,2.360,1.690
1,6:18,3,14,NOR 36,0,0,"Le'Veon Bell up the middle for no gain (tackle by Curtis Lofton). Penalty on Cameron Jordan: Defensive Offside, 5 yards (no play)",1.690,2.340
1,6:15,3,9,NOR 31,0,0,Ben Roethlisberger pass incomplete short right intended for Le'Veon Bell,2.340,1.320
1,6:10,4,9,NOR 31,0,3,Shaun Suisham 49 yard field goal good,1.320,3.000
1,6:10,,,PIT 35,0,3,"Shaun Suisham kicks off 65 yards, touchback",0.000,-0.280
1,6:05,1,10,NOR 20,0,3,Mark Ingram right tackle for 4 yards (tackle by Lawrence Timmons),0.280,0.270
1,5:22,2,6,NOR 24,0,3,Drew Brees pass incomplete short right intended for Ben Watson,0.270,-0.430
1,5:16,3,6,NOR 24,0,3,Drew Brees pass incomplete deep middle intended for Kenny Stills,-0.430,-1.770
1,5:10,4,6,NOR 24,0,3,"Thomas Morstead punts 49 yards, out of bounds",-1.770,-0.740
1,5:05,1,10,PIT 27,0,3,Ben Roethlisberger pass incomplete short left intended for Antonio Brown (defended by Patrick Robinson),0.740,0.200
1,5:02,2,10,PIT 27,0,3,Le'Veon Bell right tackle for 2 yards (tackle by Kenny Vaccaro),0.200,-0.230
1,4:21,3,8,PIT 29,0,3,Ben Roethlisberger pass complete deep left to Antonio Brown for 21 yards (tackle by Kenny Vaccaro),-0.230,2.260
1,3:36,1,10,,0,3,Le'Veon Bell left tackle for 5 yards (tackle by Pierre Warren and Kenny Vaccaro),2.260,2.390
1,2:54,2,5,NOR 45,0,3,Le'Veon Bell left guard for no gain (tackle by Brandon Deaderick and Cameron Jordan),2.390,1.690
1,2:11,3,5,NOR 45,0,3,Le'Veon Bell right guard for 16 yards (tackle by Junior Galette),1.690,3.640
1,1:31,1,10,NOR 29,0,3,Le'Veon Bell left end for 6 yards (tackle by David Hawthorne),3.640,3.910
1,0:56,2,4,NOR 23,0,3,Le'Veon Bell up the middle for 1 yard (tackle by John Jenkins),3.910,3.340
1,0:15,3,3,NOR 22,0,3,Ben Roethlisberger pass complete short right to Lance Moore for 4 yards (tackle by Patrick Robinson),3.340,4.370
Quarter,Time,Down,ToGo,Location,NOR,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NOR 18,0,3,Le'Veon Bell right guard for 5 yards (tackle by Junior Galette),4.370,4.610
2,14:19,2,5,NOR 13,0,3,Ben Roethlisberger pass incomplete short left intended for Antonio Brown (defended by Patrick Robinson),4.610,3.820
2,14:14,3,5,NOR 13,0,3,Ben Roethlisberger pass incomplete short right intended for Martavis Bryant,3.820,2.620
2,14:09,4,5,NOR 13,0,6,Shaun Suisham 31 yard field goal good,2.620,3.000
2,14:09,,,PIT 35,0,6,"Shaun Suisham kicks off 65 yards, touchback",0.000,-0.280
2,14:05,1,10,NOR 20,0,6,Mark Ingram left tackle for 6 yards (tackle by Brett Keisel and Troy Polamalu),0.280,0.540
2,13:30,2,4,NOR 26,0,6,Drew Brees pass complete short left to Travaris Cadet for 6 yards (tackle by James Harrison),0.540,1.070
2,13:02,1,10,NOR 32,0,6,Drew Brees pass incomplete deep left intended for Josh Hill,1.070,0.530
2,12:56,2,10,NOR 32,0,6,Mark Ingram right tackle for no gain (tackle by Vince Williams and Troy Polamalu),0.530,-0.160
