Unnamed: 0,NOR,PIT
First Downs,20,36
Rush-Yds-TDs,26-143-0,23-103-1
Cmp-Att-Yd-TD-INT,19-27-257-5-0,32-58-435-2-2
Sacked-Yards,1-7,1-0
Net Pass Yards,250,435
Total Yards,393,538
Fumbles-Lost,0-0,0-0
Turnovers,0,2
Penalties-Yards,11-77,5-28
Third Down Conv.,4-10,6-14
Fourth Down Conv.,0-0,0-1
Time of Possession,26:01,33:59
