Quarter,Time,Tm,Detail,NOR,PIT
1.0,6:05,Steelers,Shaun Suisham 49 yard field goal,0,3
2.0,14:05,Steelers,Shaun Suisham 31 yard field goal,0,6
,6:04,Saints,Ben Watson 15 yard pass from Drew Brees (Shayne Graham kick),7,6
,0:36,Saints,Erik Lorig 4 yard pass from Drew Brees (Shayne Graham kick),14,6
3.0,11:25,Saints,Nick Toon 11 yard pass from Drew Brees (Shayne Graham kick),21,6
,4:21,Steelers,Le'Veon Bell 1 yard rush (Shaun Suisham kick),21,13
,1:50,Saints,Kenny Stills 69 yard pass from Drew Brees (Shayne Graham kick),28,13
4.0,14:52,Steelers,Shaun Suisham 47 yard field goal,28,16
,10:25,Saints,Marques Colston 3 yard pass from Drew Brees (Shayne Graham kick),35,16
,2:34,Steelers,Antonio Brown 4 yard pass from Ben Roethlisberger (Antonio Brown pass from Ben Roethlisberger),35,24
,0:00,Steelers,Antonio Brown 3 yard pass from Ben Roethlisberger (Lance Moore pass from Ben Roethlisberger),35,32
