Quarter,Time,Tm,Detail,IND,NYJ
1.0,14:48,Jets,Morris Claiborne 17 yard interception return (Jason Myers kick),0,7
,12:16,Colts,Marcus Johnson 34 yard pass from Andrew Luck (Adam Vinatieri kick),7,7
,4:33,Jets,Jason Myers 30 yard field goal,7,10
2.0,13:25,Colts,Adam Vinatieri 21 yard field goal,10,10
,11:24,Colts,Adam Vinatieri 31 yard field goal,13,10
,2:35,Jets,Terrelle Pryor 7 yard pass from Sam Darnold (Jason Myers kick),13,17
,1:25,Jets,Jason Myers 48 yard field goal,13,20
,0:00,Jets,Jason Myers 32 yard field goal,13,23
3.0,12:03,Jets,Chris Herndon 32 yard pass from Sam Darnold (Jason Myers kick),13,30
,8:44,Colts,Eric Ebron 18 yard pass from Andrew Luck (Adam Vinatieri kick),20,30
,3:53,Jets,Jason Myers 37 yard field goal,20,33
4.0,14:52,Colts,Erik Swoope 2 yard pass from Andrew Luck (Adam Vinatieri kick),27,33
,9:40,Jets,Jason Myers 45 yard field goal,27,36
,5:55,Jets,Jason Myers 37 yard field goal,27,39
,3:19,Jets,Jason Myers 45 yard field goal,27,42
,1:51,Colts,Chester Rogers 17 yard pass from Andrew Luck (Adam Vinatieri kick),34,42
