Unnamed: 0,IND,NYJ
First Downs,24,18
Rush-Yds-TDs,23-127-0,36-107-0
Cmp-Att-Yd-TD-INT,23-43-301-4-3,24-30-280-2-1
Sacked-Yards,0-0,2-13
Net Pass Yards,301,267
Total Yards,428,374
Fumbles-Lost,1-1,3-1
Turnovers,4,2
Penalties-Yards,8-66,7-49
Third Down Conv.,5-12,6-15
Fourth Down Conv.,0-1,0-0
Time of Possession,22:58,37:02
