Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Zach Pascal,IND,7,5,35,0,1,20,4.0,15,3.0,9.4,0,,1,14.3,0,82.4
Eric Ebron,IND,7,4,71,1,4,61,15.3,10,2.5,15.0,0,,1,14.3,0,131.5
Chester Rogers,IND,10,4,55,1,2,31,7.8,24,6.0,7.7,0,,3,30.0,1,52.1
Ryan Grant,IND,5,2,24,0,2,19,9.5,5,2.5,9.8,0,,0,0.0,1,15.8
Nyheim Hines,IND,3,2,21,0,2,3,1.5,18,9.0,2.0,0,,0,0.0,0,86.8
Marcus Johnson,IND,3,2,52,1,2,35,17.5,17,8.5,22.3,0,,0,0.0,0,149.3
Robert Turbin,IND,1,1,3,0,,0,0.0,3,3.0,0.0,0,,0,0.0,0,79.2
Erik Swoope,IND,2,1,2,1,1,2,2.0,0,0.0,9.0,0,,0,0.0,0,95.8
Mo Alie-Cox,IND,2,1,34,0,1,26,26.0,8,8.0,14.0,0,,0,0.0,0,95.8
Marlon Mack,IND,2,1,4,0,0,-1,-1.0,5,5.0,-4.5,0,,1,50.0,1,16.7
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Jermaine Kearse,NYJ,10,9,94,0,5,49,5.4,45,5.0,5.5,0,,0,0.0,0,105.8
Terrelle Pryor,NYJ,6,5,57,1,3,34,6.8,23,4.6,6.3,0,,0,0.0,0,145.8
Robbie Chosen,NYJ,5,3,39,0,1,15,5.0,24,8.0,13.2,0,,0,0.0,1,45.0
Chris Herndon,NYJ,2,2,56,1,2,41,20.5,15,7.5,20.5,0,,0,0.0,0,158.3
Neal Sterling,NYJ,2,2,13,0,1,7,3.5,6,3.0,3.5,0,,0,0.0,0,93.7
Isaiah Crowell,NYJ,2,2,12,0,0,1,0.5,11,5.5,0.5,0,,0,0.0,0,91.7
Quincy Enunwa,NYJ,1,1,9,0,,-1,-1.0,10,10.0,-1.0,0,,0,0.0,0,104.2
Bilal Powell,NYJ,1,0,0,0,0,0,,0,,3.0,0,,0,0.0,0,39.6
