Unnamed: 0,NOR,TAM
First Downs,21,14
Rush-Yds-TDs,20-75-0,33-160-0
Cmp-Att-Yd-TD-INT,26-46-322-1-2,9-22-125-1-1
Sacked-Yards,4-26,1-12
Net Pass Yards,296,113
Total Yards,371,273
Fumbles-Lost,1-0,1-1
Turnovers,2,2
Penalties-Yards,5-35,10-118
Third Down Conv.,5-14,5-13
Fourth Down Conv.,0-1,0-0
Time of Possession,32:36,27:24
