Quarter,Time,Tm,Detail,NOR,TAM
1.0,10:30,Saints,Garrett Hartley 44 yard field goal,3,0
,5:15,Buccaneers,Kevin Ogletree 5 yard pass from Josh Freeman (Rian Lindell kick),3,7
,2:36,Saints,Jimmy Graham 56 yard pass from Drew Brees (Garrett Hartley kick),10,7
3.0,8:04,Saints,Garrett Hartley 41 yard field goal,13,7
4.0,12:40,Buccaneers,Mason Foster 85 yard interception return (Rian Lindell kick),13,14
,0:00,Saints,Garrett Hartley 27 yard field goal,16,14
