Unnamed: 0,GNB,STL
First Downs,22,22
Rush-Yds-TDs,26-116-1,27-131-1
Cmp-Att-Yd-TD-INT,23-32-268-2-1,22-34-247-3-2
Sacked-Yards,1-12,2-8
Net Pass Yards,256,239
Total Yards,372,370
Fumbles-Lost,3-3,3-0
Turnovers,4,2
Penalties-Yards,6-40,8-64
Third Down Conv.,4-11,5-12
Fourth Down Conv.,1-1,0-0
Time of Possession,29:11,30:49
