Quarter,Time,Down,ToGo,Location,GNB,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Ryan Longwell kicks off 62 yards, returned by Arlen Harris for 27 yards (tackle by Robert Ferguson). Penalty on Jerametrius Butler: Illegal Block Above the Waist, 10 yards",0.000,-0.060
1,14:52,1,10,STL 17,0,0,Lamar Gordon left tackle for 6 yards (tackle by Cletidus Hunt and Antuan Edwards),-0.060,0.350
1,14:12,2,4,STL 23,0,0,Lamar Gordon up the middle for 6 yards (tackle by Nick Barnett),0.350,0.870
1,13:35,1,10,STL 29,0,0,Marc Bulger pass complete to Brandon Manumaleuna for 3 yards (tackle by Nick Barnett),0.870,0.730
1,12:53,2,7,STL 32,0,0,Lamar Gordon left tackle for 5 yards (tackle by Hannibal Navies),0.730,0.700
1,12:14,3,2,STL 37,0,0,Marc Bulger pass incomplete intended for Dane Looker is intercepted by Marques Anderson at STL-37 and returned for 3 yards (tackle by Adam Timmerman),0.700,-3.310
1,12:06,1,10,STL 34,0,0,Ahman Green right tackle for 3 yards (tackle by Ryan Pickett and Travis Fisher),3.310,3.180
1,11:38,2,7,STL 31,0,0,Ahman Green right tackle for 10 yards (tackle by Jerametrius Butler),3.180,4.170
1,11:04,1,10,STL 21,0,0,Ahman Green left guard for 1 yard (tackle by Rich Coady and Ryan Pickett),4.170,3.760
1,10:29,2,9,STL 20,0,0,Brett Favre pass incomplete intended for William Henderson,3.760,3.070
1,10:24,3,9,STL 20,0,0,"Brett Favre pass incomplete intended for Donald Driver. Penalty on Leonard Little: Defensive Offside, 5 yards (no play)",3.070,3.810
1,10:19,3,4,STL 15,0,0,Brett Favre pass incomplete,3.810,2.520
,,,,,,,"STL challenged the ruling, and the play was upheld.",,
1,10:13,4,4,STL 15,3,0,Ryan Longwell 33 yard field goal good,2.520,3.000
1,,,,GNB 30,3,0,"Ryan Longwell kicks off 64 yards, returned by Arlen Harris for 24 yards (tackle by Paris Lenon). Penalty on Jerametrius Butler: Offensive Holding, 10 yards",0.000,0.280
1,10:02,1,10,STL 20,3,0,Marc Bulger pass incomplete intended for Isaac Bruce (defended by Darren Sharper),0.280,-0.270
1,9:53,2,10,STL 20,3,0,Lamar Gordon left guard for 3 yards (tackle by Rod Walker),-0.270,-0.560
1,9:18,3,7,STL 23,3,0,Marc Bulger pass incomplete intended for Dane Looker,-0.560,-1.830
1,9:13,4,7,STL 23,3,0,"Sean Landeta punts 33 yards, muffed catch by Al Harris, recovered by Tommy Polley and returned for no gain",-1.830,2.920
1,9:02,1,10,GNB 40,3,0,Arlen Harris left end for 7 yards (tackle by Al Harris),2.920,3.320
1,8:35,2,3,GNB 33,3,0,Arlen Harris right end for -1 yards (tackle by Hannibal Navies),3.320,2.480
1,7:57,3,4,GNB 34,3,0,"Penalty on Orlando Pace: False Start, 5 yards (no play)",2.480,1.820
1,7:31,3,9,GNB 39,3,6,"Marc Bulger pass complete to Torry Holt for 39 yards, touchdown",1.820,7.000
1,,,,GNB 2,3,7,Jeff Wilkins kicks extra point good,0.000,0.000
1,,,,STL 30,3,7,"Jeff Wilkins kicks off 68 yards, returned by Antonio Chatman for 18 yards (tackle by Fred Weary)",0.000,0.280
1,7:19,1,10,GNB 20,3,7,"Ahman Green left end for 4 yards (tackle by Ryan Pickett and Pisa Tinoisamoa). Penalty on Marco Rivera: Offensive Holding, 10 yards (no play)",0.280,-0.760
1,6:55,1,20,GNB 10,3,7,Brett Favre pass complete to Bubba Franks for 5 yards (tackle by Robert W. Thomas),-0.760,-1.070
1,6:23,2,15,GNB 15,3,7,Ahman Green right end for -3 yards (tackle by Brian Young),-1.070,-2.360
1,5:40,3,18,GNB 12,3,7,Brett Favre pass complete to Ahman Green for 13 yards (tackle by Grant Wistrom),-2.360,-1.700
1,5:00,4,5,GNB 25,3,7,"Josh Bidwell punts 33 yards, returned by DeJuan Groce for 11 yards (tackle by Torrance Marshall)",-1.700,-2.460
1,4:49,1,10,GNB 47,3,7,Marc Bulger pass complete to Isaac Bruce for 24 yards (tackle by Mike McKenzie). Penalty on Kabeer Gbaja-Biamila: Defensive Offside (Declined),2.460,4.040
1,4:23,1,10,GNB 23,3,7,Marc Bulger pass complete to Brandon Manumaleuna for 20 yards (tackle by Hannibal Navies),4.040,6.510
1,3:51,1,3,GNB 3,3,13,"Arlen Harris left tackle for 3 yards, touchdown",6.510,7.000
1,,,,GNB 2,3,14,Jeff Wilkins kicks extra point good,0.000,0.000
1,,,,STL 30,3,14,"Jeff Wilkins kicks off 71 yards, returned by Antonio Chatman for 17 yards (tackle by Pisa Tinoisamoa)",0.000,-0.140
1,3:41,1,10,GNB 16,3,14,Brett Favre pass complete to Bubba Franks for 15 yards (tackle by Aeneas Williams),-0.140,1.000
1,3:05,1,10,GNB 31,3,14,Brett Favre pass complete to Donald Driver for 12 yards (tackle by Robert W. Thomas),1.000,1.800
1,2:23,1,10,GNB 43,3,14,Ahman Green right end for -3 yards (tackle by Bryce Fisher),1.800,0.850
1,1:47,2,13,GNB 40,3,14,Ahman Green left end for -2 yards (tackle by Robert W. Thomas),0.850,-0.100
1,1:11,3,15,GNB 38,3,14,Brett Favre pass complete to Wesley Walls for 16 yards (tackle by James Whitley),-0.100,2.520
1,0:32,1,10,STL 46,3,14,Brett Favre pass complete to Donald Driver for 7 yards (tackle by Jerametrius Butler),2.520,2.920
1,0:06,2,3,STL 39,3,14,"Najeh Davenport up the middle for -3 yards (tackle by Bryce Fisher). Najeh Davenport fumbles (forced by Bryce Fisher), recovered by Rich Coady at STL-42 (tackle by Mike Flanagan)",2.920,-1.730
Quarter,Time,Down,ToGo,Location,GNB,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,STL 42,3,14,Marc Bulger pass incomplete intended for Torry Holt,1.730,1.190
2,14:55,2,10,STL 42,3,14,Marc Bulger pass incomplete intended for Isaac Bruce is intercepted by Al Harris at STL-47,1.190,-2.460
2,14:47,1,10,STL 47,3,14,Brett Favre pass complete to Javon Walker for 26 yards (tackle by Aeneas Williams),2.460,4.170
2,14:06,1,10,STL 21,3,14,Ahman Green right tackle for no gain (tackle by Leonard Little),4.170,3.630
2,13:31,2,10,STL 21,9,14,"Brett Favre pass complete to Ahman Green for 21 yards, touchdown",3.630,7.000
2,,,,STL 2,10,14,Ryan Longwell kicks extra point good,0.000,0.000
2,,,,GNB 30,10,14,"Ryan Longwell kicks off 66 yards, returned by Joffrey Reynolds for 23 yards (tackle by Derek Combs)",0.000,0.740
2,13:13,1,10,STL 27,10,14,Arlen Harris left end for -5 yards (tackle by Torrance Marshall),0.740,-0.480
2,12:31,2,15,STL 22,10,14,Marc Bulger pass complete to Isaac Bruce for 9 yards (tackle by Darren Sharper),-0.480,0.040
2,11:47,3,6,STL 31,10,14,Marc Bulger pass complete to Isaac Bruce for 6 yards (tackle by Mike McKenzie),0.040,1.400
2,10:58,1,10,STL 37,10,14,Marc Bulger pass complete to Brandon Manumaleuna for -3 yards (tackle by Larry Smith),1.400,0.450
2,10:14,2,13,STL 34,10,14,Marc Bulger sacked by Cletidus Hunt for -3 yards,0.450,-0.620
2,9:38,3,16,STL 31,10,14,Marc Bulger pass incomplete intended for Torry Holt,-0.620,-1.310
2,9:30,4,16,STL 31,10,14,"Sean Landeta punts 48 yards, returned by Antonio Chatman for 2 yards (tackle by Bryce Fisher). Penalty on Najeh Davenport: Offensive Holding, 10 yards",-1.310,0.320
2,9:18,1,10,GNB 13,10,14,Ahman Green up the middle for 3 yards (tackle by Ryan Pickett),-0.320,-0.440
