Unnamed: 0,JAX,WAS
First Downs,24,26
Rush-Yds-TDs,18-123-1,28-85-0
Cmp-Att-Yd-TD-INT,24-42-275-1-1,27-41-313-4-2
Sacked-Yards,2-15,1-8
Net Pass Yards,260,305
Total Yards,383,390
Fumbles-Lost,1-0,1-1
Turnovers,1,3
Penalties-Yards,13-90,6-63
Third Down Conv.,3-12,7-10
Fourth Down Conv.,0-1,0-0
Time of Possession,26:27,33:33
