Quarter,Time,Tm,Detail,BUF,CAR
1.0,8:49,Panthers,Graham Gano 34 yard field goal,0,3
2.0,2:02,Panthers,Graham Gano 28 yard field goal,0,6
4.0,11:09,Bills,Stephen Hauschka 45 yard field goal,3,6
,2:35,Panthers,Graham Gano 20 yard field goal,3,9
