Quarter,Time,Down,ToGo,Location,BUF,CAR,Detail,EPB,EPA
2,11:21,2,7,BUF 5,0,3,Tyrod Taylor pass complete short left to Charles Clay for no gain,-0.560,-1.070
2,10:47,3,7,BUF 5,0,3,Tyrod Taylor right end for 12 yards (tackle by Mario Addison),-1.070,-0.060
2,10:22,1,10,BUF 17,0,3,Mike Tolbert middle for 3 yards (tackle by Kawann Short),-0.060,-0.060
2,9:51,2,7,BUF 20,0,3,Mike Tolbert left guard for 1 yard (tackle by Kawann Short),-0.060,-0.750
2,9:16,3,6,BUF 21,0,3,"Tyrod Taylor pass complete short left to Mike Tolbert for 2 yards (tackle by Thomas Davis). Penalty on BUF: Unsportsmanlike Conduct, 11 yards",-0.750,-2.490
2,9:04,4,15,BUF 12,0,3,"Colton Schmidt punts 48 yards, returned by Christian McCaffrey for 4 yards (tackle by Deon Lacey)",-2.490,-1.860
2,8:53,1,10,CAR 44,0,3,Jonathan Stewart left end for 10 yards (tackle by Jordan Poyer),1.860,2.520
2,8:11,1,10,BUF 46,0,3,Cam Newton pass complete short right to Curtis Samuel for 8 yards (tackle by Kyle Williams and Preston Brown),2.520,3.060
2,7:24,2,2,BUF 38,0,3,Christian McCaffrey right guard for -2 yards (tackle by Lorenzo Alexander),3.060,2.080
2,6:42,3,4,BUF 40,0,3,Cam Newton pass complete short left to Kelvin Benjamin for 5 yards (tackle by E.J. Gaines and Jordan Poyer),2.080,3.250
2,5:54,1,10,BUF 35,0,3,"Penalty on Cam Newton: Delay of Game, 5 yards (no play)",3.250,2.920
2,5:28,1,15,BUF 40,0,3,"Cam Newton pass complete deep left to Devin Funchess for 21 yards (tackle by E.J. Gaines). Penalty on Daryl Williams: Offensive Holding, 10 yards (no play)",2.920,2.260
2,5:04,1,25,,0,3,Cam Newton pass complete deep right to Devin Funchess for 21 yards (tackle by TreDavious White),2.260,3.510
2,4:17,2,4,BUF 29,0,3,Cam Newton pass complete deep right to Ed Dickson for 20 yards (tackle by Jordan Poyer),3.510,5.140
2,3:32,1,9,BUF 9,0,3,Christian McCaffrey left end for -2 yards (tackle by Ramon Humber),5.140,4.020
2,2:51,2,11,BUF 11,0,3,Cam Newton middle for 1 yard (tackle by Jerry Hughes and Kyle Williams),4.020,3.130
2,2:11,3,10,BUF 10,0,3,Cam Newton pass incomplete short right intended for Russell Shepard (defended by Jordan Poyer),3.130,2.760
2,2:06,4,10,BUF 10,0,6,Graham Gano 28 yard field goal good,2.760,3.000
2,2:02,,,CAR 35,0,6,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
2,2:02,1,10,BUF 25,0,6,Tyrod Taylor sacked by Mario Addison for -9 yards,0.610,-1.290
2,1:57,2,19,BUF 16,0,6,"Tyrod Taylor pass complete short right to Andre Holmes for 16 yards (tackle by Mike Adams). Penalty on John Miller: Illegal Use of Hands, 8 yards (no play)",-1.290,-2.020
2,1:51,2,27,BUF 8,0,6,Tyrod Taylor for 13 yards (tackle by James Bradberry),-2.020,-1.150
2,1:42,3,14,BUF 21,0,6,Tyrod Taylor pass incomplete short right intended for Andre Holmes,-1.150,-1.960
2,1:38,4,14,BUF 21,0,6,"Colton Schmidt punts 41 yards, fair catch by Christian McCaffrey",-1.960,-1.470
2,1:30,1,10,CAR 38,0,6,Cam Newton pass complete short right to Christian McCaffrey for 10 yards (tackle by Lorenzo Alexander),1.470,2.130
2,1:13,1,10,CAR 48,0,6,Cam Newton pass incomplete short left intended for Damiere Byrd (defended by E.J. Gaines),2.130,1.580
2,1:10,2,10,CAR 48,0,6,Cam Newton sacked by Lorenzo Alexander for -5 yards,1.580,0.230
2,0:31,3,15,CAR 43,0,6,"Cam Newton pass complete short right to Christian McCaffrey for 12 yards (tackle by Ramon Humber). Penalty on Daryl Williams: Offensive Holding, 10 yards (no play)",0.230,0.000
2,0:19,,,,,,Timeout #1 by Buffalo Bills,0.000,1.090
2,0:19,3,25,CAR 33,0,6,Jonathan Stewart right tackle for 6 yards (tackle by Ramon Humber),-1.090,0.000
2,0:13,,,,,,Timeout #2 by Buffalo Bills,0.000,0.780
2,0:13,4,19,CAR 39,0,6,"Michael Palardy punts 40 yards, out of bounds",-0.780,-0.340
2,0:06,1,10,BUF 21,0,6,LeSean McCoy middle for -2 yards (tackle by Star Lotulelei),0.340,-0.530
Quarter,Time,Down,ToGo,Location,BUF,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,0,6,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,BUF 25,0,6,Tyrod Taylor right end for 11 yards (tackle by James Bradberry),0.610,1.330
3,14:39,1,10,BUF 36,0,6,Tyrod Taylor pass complete short left to LeSean McCoy for 11 yards (tackle by Kurt Coleman and Thomas Davis),1.330,2.060
3,14:06,1,10,BUF 47,0,6,"Mike Tolbert right tackle for 2 yards (tackle by Shaq Thompson and Star Lotulelei). Penalty on Kawann Short: Defensive Offside, 5 yards (no play)",2.060,2.790
3,13:45,1,5,CAR 48,0,6,Tyrod Taylor sacked by Julius Peppers for 0 yards,2.790,2.190
3,13:24,2,5,CAR 48,0,6,Tyrod Taylor right end for 4 yards (tackle by Julius Peppers and James Bradberry),2.190,2.020
3,12:46,3,1,CAR 44,0,6,Tyrod Taylor pass incomplete short left intended for Patrick DiMarco,2.020,0.330
3,12:39,4,1,CAR 44,0,6,LeSean McCoy left end for -1 yards (tackle by Thomas Davis),0.330,-1.990
3,12:33,1,10,CAR 46,0,6,Christian McCaffrey left guard for no gain (tackle by Marcell Dareus and Jerry Hughes),1.990,1.450
3,11:57,2,10,CAR 46,0,6,"Jonathan Stewart right tackle for -2 yards (tackle by Jerry Hughes). Penalty on Jonathan Stewart: Delay of Game, 5 yards",1.450,-0.160
3,11:26,3,17,CAR 39,0,6,Cam Newton pass complete short right to Curtis Samuel for -1 yards (tackle by TreDavious White),-0.160,-0.850
3,10:50,4,18,CAR 38,0,6,"Michael Palardy punts 43 yards, returned by Kaelin Clay for 2 yards (tackle by David Mayo)",-0.850,-0.340
3,10:35,1,10,BUF 21,0,6,"Tyrod Taylor pass complete short left to Charles Clay for 12 yards (tackle by Luke Kuechly). Charles Clay fumbles (forced by Luke Kuechly), ball out of bounds at BUF-33",0.340,1.140
3,10:15,1,10,BUF 33,0,6,LeSean McCoy right guard for 6 yards (tackle by Vernon Butler),1.140,1.400
3,9:45,2,4,BUF 39,0,6,LeSean McCoy left tackle for -2 yards (tackle by Mario Addison),1.400,0.430
3,9:03,3,6,BUF 37,0,6,Tyrod Taylor sacked by Julius Peppers for -9 yards,0.430,-1.500
3,8:30,4,15,BUF 28,0,6,"Colton Schmidt punts 43 yards, returned by Christian McCaffrey for 1 yard (tackle by Andre Holmes)",-1.500,-0.940
3,8:22,1,10,CAR 30,0,6,Jonathan Stewart right guard for 5 yards (tackle by Shaq Lawson and Ramon Humber),0.940,1.070
3,7:45,2,5,CAR 35,0,6,Cam Newton sacked by Shaq Lawson for -7 yards,1.070,-0.560
3,6:57,3,12,CAR 28,0,6,"Penalty on Cam Newton: Delay of Game, 5 yards (no play)",-0.560,-1.220
3,6:33,3,17,CAR 23,0,6,Cam Newton pass incomplete deep right intended for Ed Dickson,-1.220,-1.830
3,6:23,4,17,CAR 23,0,6,"Michael Palardy punts 55 yards, muffed catch by Kaelin Clay, recovered by Shareece Wright and returned for no gain. Penalty on Trae Elston: Offensive Holding, 10 yards",-1.830,0.280
3,6:13,1,10,BUF 14,0,6,Tyrod Taylor pass incomplete deep left intended for Andre Holmes,-0.280,-0.750
3,6:08,2,10,BUF 14,0,6,LeSean McCoy left guard for 2 yards (tackle by Star Lotulelei and Luke Kuechly),-0.750,-1.160
3,5:26,3,8,BUF 16,0,6,Tyrod Taylor pass complete short right to Jordan Matthews for 15 yards (tackle by Captain Munnerlyn),-1.160,1.000
3,4:59,1,10,BUF 31,0,6,LeSean McCoy right tackle for 6 yards (tackle by Charles Johnson),1.000,1.270
3,4:25,2,4,BUF 37,0,6,LeSean McCoy middle for no gain (tackle by Thomas Davis and Kyle Love),1.270,0.560
3,3:39,3,4,BUF 37,0,6,Tyrod Taylor pass incomplete short right intended for Zay Jones (defended by James Bradberry),0.560,-0.910
3,3:33,4,4,BUF 37,0,6,"Colton Schmidt punts 56 yards, returned by Christian McCaffrey for 11 yards (tackle by Ramon Humber)",-0.910,-0.040
3,3:23,1,10,CAR 18,0,6,Cam Newton pass complete short left to Christian McCaffrey for 4 yards (tackle by Ramon Humber),0.040,0.140
3,2:45,2,6,CAR 22,0,6,Christian McCaffrey left tackle for 3 yards (tackle by Jerry Hughes),0.140,-0.270
3,2:06,3,3,CAR 25,0,6,Cam Newton pass complete short left to Christian McCaffrey for 14 yards (tackle by Ramon Humber),-0.270,1.530
3,1:30,1,10,CAR 39,0,6,Cam Newton pass incomplete short left intended for Kelvin Benjamin (defended by E.J. Gaines),1.530,0.990
3,1:24,2,10,CAR 39,0,6,Cam Newton sacked by Jordan Poyer for -7 yards. Penalty on Christian McCaffrey: Chop Block (Declined),0.990,-0.630
3,1:02,3,17,CAR 32,0,6,Cam Newton sacked by Jerry Hughes for -14 yards,-0.630,-2.240
3,0:39,4,31,CAR 18,0,6,"Michael Palardy punts 39 yards, out of bounds",-2.240,-1.800
3,0:27,1,10,BUF 43,0,6,LeSean McCoy left tackle for -7 yards (tackle by Shaq Thompson),1.800,0.310
Quarter,Time,Down,ToGo,Location,BUF,CAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,17,BUF 36,0,6,LeSean McCoy middle for 4 yards (tackle by Charles Johnson),0.310,0.170
4,14:28,3,13,BUF 40,0,6,Tyrod Taylor pass complete short middle to Jordan Matthews for 14 yards (tackle by Mike Adams),0.170,2.520
4,13:53,1,10,CAR 46,0,6,Mike Tolbert right tackle for 1 yard (tackle by Julius Peppers),2.520,2.110
4,13:16,2,9,CAR 45,0,6,Tyrod Taylor pass complete short middle to Charles Clay for 11 yards (tackle by James Bradberry),2.110,3.310
4,12:36,1,10,CAR 34,0,6,LeSean McCoy right guard for 1 yard (tackle by Julius Peppers),3.310,2.910
4,12:03,2,9,CAR 33,0,6,Tyrod Taylor pass incomplete short middle intended for LeSean McCoy,2.910,2.210
4,11:58,3,9,CAR 33,0,6,Tyrod Taylor pass complete short right to LeSean McCoy for 6 yards (tackle by Thomas Davis),2.210,1.770
4,11:15,4,3,CAR 27,3,6,Steven Hauschka 45 yard field goal good,1.770,3.000
4,11:09,,,BUF 35,3,6,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.610
4,11:09,1,10,CAR 25,3,6,Cam Newton pass complete short left to Russell Shepard for 6 yards (tackle by Ramon Humber and Preston Brown),0.610,0.870
4,10:31,2,4,CAR 31,3,6,Cam Newton pass incomplete deep right intended for Devin Funchess,0.870,0.170
4,10:25,3,4,CAR 31,3,6,Cam Newton pass complete short left to Christian McCaffrey for 6 yards (tackle by Jordan Poyer),0.170,1.400
4,9:48,1,10,CAR 37,3,6,Cam Newton pass complete short right to Devin Funchess for 8 yards (tackle by Jordan Poyer),1.400,1.940
4,9:10,2,2,CAR 45,3,6,Jonathan Stewart right tackle for 4 yards (tackle by Shaq Lawson and TreDavious White),1.940,2.190
4,8:31,1,10,CAR 49,3,6,Christian McCaffrey middle for -1 yards (tackle by TreDavious White),2.190,1.510
4,7:49,2,11,CAR 48,3,6,Cam Newton pass complete short middle to Kelvin Benjamin for 18 yards (tackle by Jordan Poyer),1.510,3.310
4,7:06,1,10,BUF 34,3,6,Cam Newton pass complete short left to Ed Dickson for 6 yards (tackle by E.J. Gaines),3.310,3.580
4,6:27,2,4,BUF 28,3,6,Cam Newton right end for 2 yards (tackle by Lorenzo Alexander),3.580,3.140
4,5:44,3,2,BUF 26,3,6,Jonathan Stewart middle for 4 yards (tackle by Ramon Humber),3.140,4.110
4,4:58,1,10,BUF 22,3,6,Cam Newton pass complete short left to Kelvin Benjamin for 16 yards (tackle by E.J. Gaines and Jordan Poyer),4.110,5.830
4,4:11,1,6,BUF 6,3,6,"Cam Newton pass incomplete short left intended for Kelvin Benjamin. Penalty on E.J. Gaines: Defensive Pass Interference, 5 yards (no play)",5.830,6.970
4,4:06,1,1,BUF 1,3,6,Jonathan Stewart middle for -2 yards (tackle by Shaq Lawson and Kyle Williams),6.970,5.530
4,3:22,2,3,BUF 3,3,6,Jonathan Stewart right tackle for 1 yard (tackle by Ramon Humber and Preston Brown),5.530,0.000
4,2:43,,,,,,Timeout #1 by Buffalo Bills,0.000,-4.950
4,2:43,3,2,BUF 2,3,6,Cam Newton pass incomplete short right intended for Christian McCaffrey,4.950,3.250
4,2:38,4,2,BUF 2,3,9,Graham Gano 20 yard field goal good,3.250,3.000
4,2:35,,,CAR 35,3,9,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
4,2:35,1,10,BUF 25,3,9,Tyrod Taylor pass complete short left to LeSean McCoy for 6 yards (tackle by Daryl Worley),0.610,0.870
4,2:10,2,4,BUF 31,3,9,Tyrod Taylor pass complete short left to Zay Jones for 6 yards (tackle by Captain Munnerlyn),0.870,1.400
4,2:00,1,10,BUF 37,3,9,Tyrod Taylor pass complete short right to Jordan Matthews for 1 yard (tackle by James Bradberry),1.400,0.990
4,1:39,2,9,BUF 38,3,9,Tyrod Taylor pass complete short left to Zay Jones for 12 yards (tackle by Daryl Worley),0.990,2.260
4,1:33,1,10,,3,9,Tyrod Taylor left end for 2 yards (tackle by Thomas Davis),2.260,1.980
4,1:26,2,8,CAR 48,3,9,Tyrod Taylor pass complete short middle to LeSean McCoy for 7 yards (tackle by Mario Addison),1.980,2.210
4,1:06,3,1,CAR 41,3,9,Tyrod Taylor pass complete short left to Andre Holmes for 9 yards (tackle by Daryl Worley),2.210,3.450
4,1:01,1,10,CAR 32,3,9,"Tyrod Taylor pass complete short left to Andre Holmes for 10 yards. Penalty on Andre Holmes: Offensive Pass Interference, 10 yards (no play)",3.450,2.790
4,0:53,1,20,CAR 42,3,9,Tyrod Taylor right end for 4 yards (tackle by Luke Kuechly),2.790,2.090
4,0:30,2,16,CAR 38,3,9,Tyrod Taylor pass incomplete deep right intended for Zay Jones,2.090,1.420
4,0:23,3,16,CAR 38,3,9,Tyrod Taylor right guard for 5 yards (tackle by Luke Kuechly),1.420,0.000
4,0:14,,,,,,Timeout #2 by Buffalo Bills,0.000,0.000
4,0:14,,,,,,Timeout #1 by Carolina Panthers,0.000,-1.150
4,0:14,4,11,CAR 33,3,9,Tyrod Taylor pass incomplete deep right intended for Zay Jones,1.150,-1.140
4,0:09,1,10,CAR 33,3,9,Cam Newton kneels for -1 yards,1.140,0.460
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
