Unnamed: 0,NYJ,BUF
First Downs,24,14
Rush-Yds-TDs,39-126-2,22-96-0
Cmp-Att-Yd-TD-INT,20-28-230-1-1,15-31-191-1-2
Sacked-Yards,1-8,0-0
Net Pass Yards,222,191
Total Yards,348,287
Fumbles-Lost,3-1,2-1
Turnovers,2,3
Penalties-Yards,9-60,6-84
Third Down Conv.,6-11,3-11
Fourth Down Conv.,0-0,1-3
Time of Possession,37:52,22:08
