Quarter,Time,Down,ToGo,Location,NYJ,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss and deferred, Bills to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Nick Folk kicks off 73 yards, touchback",0.000,0.280
1,15:00,1,10,BUF 20,0,0,Ryan Fitzpatrick pass complete short right to David Nelson for 2 yards (tackle by Kyle Wilson),0.280,0.000
1,14:19,2,8,BUF 22,0,0,Fred Jackson up the middle for 4 yards (tackle by Calvin Pace and Donald Strickland),0.000,-0.160
1,13:39,3,4,BUF 26,0,0,Ryan Fitzpatrick pass complete short right to Fred Jackson for 3 yards (tackle by Eric Smith),-0.160,-1.440
1,13:03,4,1,BUF 29,0,0,"Brian Moorman punts 66 yards, returned by Jeremy Kerley for no gain. Jeremy Kerley fumbles, recovered by Jeremy Kerley at NYJ-6",-1.440,0.380
1,12:53,1,10,NYJ 6,0,0,Shonn Greene up the middle for 5 yards (tackle by Danny Batten and Kelvin Sheppard),-0.380,-0.420
1,12:14,2,5,NYJ 11,0,0,Shonn Greene right guard for 2 yards (tackle by George Wilson),-0.420,-0.600
1,11:31,3,3,NYJ 13,0,0,LaDainian Tomlinson up the middle for 4 yards (tackle by Bryan Scott),-0.600,-0.060
1,10:53,1,10,NYJ 17,0,0,Mark Sanchez sacked by Alex Carrington for -8 yards,-0.060,-1.360
1,10:19,2,18,NYJ 9,0,0,Mark Sanchez pass complete short left to Plaxico Burress for 14 yards (tackle by Drayton Florence),-1.360,-0.490
1,9:38,3,4,NYJ 23,0,0,Mark Sanchez pass complete short right to Jeremy Kerley for 4 yards (tackle by Terrence McGee),-0.490,0.740
1,8:59,1,10,NYJ 27,0,0,Shonn Greene left end for 6 yards (tackle by Terrence McGee),0.740,1.010
1,8:33,2,4,NYJ 33,0,0,"Mark Sanchez pass complete short left to Santonio Holmes for 13 yards (tackle by Terrence McGee). Penalty on Santonio Holmes: Offensive Pass Interference, 10 yards (no play)",1.010,-0.340
1,8:06,2,14,NYJ 23,0,0,Mark Sanchez pass complete short right to Dustin Keller for 24 yards (tackle by Kelvin Sheppard),-0.340,2.060
1,7:25,1,10,NYJ 47,0,0,Shonn Greene left guard for 3 yards (tackle by Marcell Dareus and Spencer Johnson),2.060,1.920
1,6:42,2,7,,0,0,"Penalty on Arthur Moats: Neutral Zone Infraction, 5 yards (no play)",1.920,2.600
1,6:25,2,2,BUF 45,0,0,Shonn Greene up the middle for 10 yards (tackle by Arthur Moats),2.600,3.250
1,5:43,1,10,BUF 35,0,0,Mark Sanchez pass complete short middle to Plaxico Burress for 14 yards (tackle by Drayton Florence),3.250,4.170
1,4:57,1,10,BUF 21,0,0,Mark Sanchez pass complete short middle to Jeremy Kerley for 3 yards (tackle by Bryan Scott),4.170,4.040
1,4:17,2,7,BUF 18,0,0,Shonn Greene up the middle for 9 yards (tackle by Antonio Coleman and Drayton Florence),4.040,5.140
1,3:37,1,9,BUF 9,0,0,Shonn Greene right guard for 2 yards (tackle by Kelvin Sheppard and Marcell Dareus),5.140,4.760
1,2:53,2,7,BUF 7,0,0,Mark Sanchez pass incomplete short middle intended for Dustin Keller is intercepted by Jairus Byrd at BUF-21 and returned for 29 yards (tackle by Joe McKnight),4.760,-0.340
1,2:44,1,10,BUF 21,0,0,Fred Jackson right tackle for 14 yards (tackle by Jim Leonhard),0.340,1.270
1,2:15,1,10,BUF 35,0,0,Ryan Fitzpatrick pass incomplete short right intended for Steve Johnson (defended by Darrelle Revis),1.270,0.720
1,2:10,2,10,BUF 35,0,0,Fred Jackson right guard for 3 yards (tackle by Darrelle Revis and David Harris),0.720,0.430
1,1:31,3,7,BUF 38,0,0,"Penalty on Erik Pears: False Start, 5 yards (no play)",0.430,-0.230
1,1:03,3,12,BUF 33,0,0,Ryan Fitzpatrick pass complete short middle to David Nelson for 15 yards (tackle by Donald Strickland),-0.230,2.130
1,0:25,1,10,BUF 48,0,0,Fred Jackson up the middle for 4 yards (tackle by Sione Pouha and Kyle Wilson),2.130,2.120
Quarter,Time,Down,ToGo,Location,NYJ,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,NYJ 48,0,0,Fred Jackson up the middle for 5 yards (tackle by Muhammad Wilkerson and Bart Scott),2.120,2.080
2,14:23,3,1,NYJ 43,0,0,Fred Jackson right guard for -1 yards (tackle by David Harris and Ropati Pitoitua),2.080,0.330
2,13:42,4,2,NYJ 44,0,0,"Brian Moorman punts 26 yards, fair catch by Jeremy Kerley",0.330,-0.040
2,13:36,1,10,NYJ 18,0,0,Mark Sanchez pass complete short right to Dustin Keller for 11 yards (tackle by Terrence McGee),0.040,0.870
2,13:13,1,10,NYJ 29,0,0,"Penalty on Matthew Mulligan: False Start, 5 yards (no play)",0.870,0.540
