Unnamed: 0,MIA,BAL
First Downs,18,21
Rush-Yds-TDs,20-97-1,41-190-1
Cmp-Att-Yd-TD-INT,16-38-264-1-3,14-27-142-1-0
Sacked-Yards,3-16,0-0
Net Pass Yards,248,142
Total Yards,345,332
Fumbles-Lost,2-0,2-0
Turnovers,3,0
Penalties-Yards,5-50,6-50
Third Down Conv.,4-13,7-16
Fourth Down Conv.,0-0,0-0
Time of Possession,26:55,33:05
