Quarter,Time,Down,ToGo,Location,SEA,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,SEA 25,0,0,Chris Carson left guard for 9 yards (tackle by Danny Trevathan),0.610,1.280
1,14:29,2,1,SEA 34,0,0,Chris Carson left guard for 2 yards (tackle by Roquan Smith),1.280,1.330
1,13:57,1,10,SEA 36,0,0,Chris Carson left tackle for 2 yards (tackle by Leonard Floyd),1.330,1.060
1,13:24,2,8,SEA 38,0,0,Russell Wilson pass incomplete short middle intended for Rashaad Penny,1.060,0.370
1,13:20,3,8,SEA 38,0,0,Russell Wilson pass complete short right to Jaron Brown for 10 yards (tackle by Kyle Fuller),0.370,2.130
1,12:51,1,10,SEA 48,0,0,Russell Wilson pass complete short left to Will Dissly for 6 yards (tackle by Adrian Amos),2.130,2.390
1,12:07,2,4,CHI 46,0,0,Rashaad Penny left guard for 2 yards (tackle by Akiem Hicks and Roy Robertson-Harris),2.390,1.950
1,11:24,3,2,CHI 44,0,0,Russell Wilson sacked by Aaron Lynch for no gain,1.950,0.330
1,10:43,4,2,CHI 44,0,0,"Michael Dickson punts 40 yards, fair catch by Tarik Cohen at CHI-4",0.330,0.380
1,10:35,1,10,CHI 4,0,0,"Jordan Howard left tackle for no gain (tackle by Quinton Jefferson). Penalty on Quinton Jefferson: Defensive Offside, 5 yards (no play)",-0.380,-0.190
1,10:07,1,5,CHI 9,0,0,"Tarik Cohen right end for 3 yards (tackle by Bradley McDougald). Penalty on Shaquill Griffin: Face Mask (15 Yards), 15 yards",-0.190,0.740
1,9:38,1,10,CHI 27,0,0,Mitchell Trubisky pass incomplete short right intended for Jordan Howard,0.740,0.200
1,9:34,2,10,CHI 27,0,0,Mitchell Trubisky pass complete short middle to Allen Robinson for 6 yards (tackle by Austin Calitro),0.200,0.300
1,8:55,3,4,CHI 33,0,0,Mitchell Trubisky pass complete short left to Allen Robinson for 13 yards (tackle by Earl Thomas),0.300,1.990
1,8:18,1,10,CHI 46,0,0,Jordan Howard left guard for 3 yards (tackle by Austin Calitro),1.990,1.860
1,7:39,2,7,CHI 49,0,0,Mitchell Trubisky pass complete short right to Anthony Miller for 1 yard (tackle by Bradley McDougald),1.860,1.290
1,6:50,3,6,CHI 50,0,0,Mitchell Trubisky up the middle for 17 yards (tackle by Barkevious Mingo),1.290,3.380
1,6:16,1,10,SEA 33,0,0,Mitchell Trubisky pass complete short right to Taylor Gabriel for 9 yards (tackle by Shaquill Griffin),3.380,4.050
1,5:43,2,1,SEA 24,0,0,Mitchell Trubisky pass complete short right to Jordan Howard for 18 yards (tackle by Bradley McDougald),4.050,5.830
1,5:05,1,6,SEA 6,0,0,"Mitchell Trubisky pass incomplete short left intended for Allen Robinson. Penalty on Akeem King: Defensive Holding, 3 yards (no play)",5.830,6.510
1,4:59,1,3,SEA 3,0,6,"Mitchell Trubisky pass complete short middle to Trey Burton for 3 yards, touchdown",6.510,7.000
1,4:55,,,SEA 15,0,6,"Cody Parkey kicks extra point good. Penalty on Cody Whitehair: False Start, 5 yards (no play)",0.000,0.000
1,4:55,,,SEA 20,0,7,Cody Parkey kicks extra point good,0.000,0.000
1,4:55,,,CHI 35,0,7,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
1,4:55,1,10,SEA 25,0,7,Russell Wilson pass complete short left to Brandon Marshall for 10 yards (tackle by Prince Amukamara),0.610,1.270
1,4:18,1,10,SEA 35,0,7,Chris Carson right end for 4 yards (tackle by Leonard Floyd),1.270,1.260
1,3:42,2,6,SEA 39,0,7,Russell Wilson pass incomplete short left intended for Brandon Marshall (defended by Prince Amukamara),1.260,0.560
1,3:38,3,6,SEA 39,0,7,Russell Wilson pass incomplete deep right intended for Will Dissly,0.560,-0.780
1,3:30,4,6,SEA 39,0,7,"Michael Dickson punts 54 yards, returned by Tarik Cohen for 32 yards (tackle by Justin Coleman)",-0.780,-1.530
1,3:15,1,10,CHI 39,0,7,Mitchell Trubisky pass incomplete deep left intended for Taylor Gabriel,1.530,0.990
1,3:11,2,10,CHI 39,0,7,Mitchell Trubisky pass complete short right to Allen Robinson for 9 yards (tackle by Austin Calitro),0.990,1.490
1,2:30,3,1,CHI 48,0,7,Jordan Howard right end for no gain (tackle by Barkevious Mingo),1.490,-0.190
1,1:52,4,1,CHI 48,0,7,Jordan Howard left tackle for 2 yards (tackle by Frank Clark),-0.190,2.260
1,1:10,1,10,CHI 50,0,7,Tarik Cohen left end for 2 yards (tackle by Akeem King),2.260,1.980
1,0:30,2,8,SEA 48,0,7,Taylor Gabriel left end for 5 yards (tackle by Rasheem Green),1.980,1.950
Quarter,Time,Down,ToGo,Location,SEA,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
