Unnamed: 0,CIN,HOU
First Downs,12,24
Rush-Yds-TDs,16-80-0,39-158-1
Cmp-Att-Yd-TD-INT,14-30-127-0-1,29-38-262-0-1
Sacked-Yards,2-9,0-0
Net Pass Yards,118,262
Total Yards,198,420
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,5-51,7-55
Third Down Conv.,0-9,8-17
Fourth Down Conv.,1-2,0-1
Time of Possession,21:11,38:49
