Unnamed: 0,NWE,LVR
First Downs,19,18
Rush-Yds-TDs,32-206-1,23-97-0
Cmp-Att-Yd-TD-INT,13-31-112-0-0,20-38-231-3-1
Sacked-Yards,0-0,3-20
Net Pass Yards,112,211
Total Yards,318,308
Fumbles-Lost,1-1,2-0
Turnovers,1,1
Penalties-Yards,6-30,13-90
Third Down Conv.,2-13,5-14
Fourth Down Conv.,0-0,1-1
Time of Possession,26:44,33:16
