Unnamed: 0,JAX,TEN
First Downs,13,14
Rush-Yds-TDs,17-33-0,32-137-1
Cmp-Att-Yd-TD-INT,23-35-215-1-2,14-24-175-1-2
Sacked-Yards,7-59,1-3
Net Pass Yards,156,172
Total Yards,189,309
Fumbles-Lost,1-1,1-0
Turnovers,3,2
Penalties-Yards,6-50,5-36
Third Down Conv.,5-14,3-13
Fourth Down Conv.,1-1,0-1
Time of Possession,31:20,28:40
