Unnamed: 0,DEN,SFO
First Downs,22,16
Rush-Yds-TDs,17-59-1,42-143-2
Cmp-Att-Yd-TD-INT,28-40-370-1-1,12-19-196-1-0
Sacked-Yards,4-31,0-0
Net Pass Yards,339,196
Total Yards,398,339
Fumbles-Lost,2-1,1-0
Turnovers,2,0
Penalties-Yards,8-60,6-67
Third Down Conv.,2-10,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,26:26,33:34
