Quarter,Time,Tm,Detail,DEN,SFO
1.0,0:23,49ers,Joe Nedney 34 yard field goal,0,3
3.0,8:08,Broncos,Tim Tebow 1 yard rush (Matt Prater kick),7,3
4.0,14:13,Broncos,Matt Prater 32 yard field goal,10,3
,11:51,49ers,Troy Smith 1 yard rush (Joe Nedney kick),10,10
,7:23,49ers,Michael Crabtree 28 yard pass from Troy Smith (Joe Nedney kick),10,17
,3:47,49ers,Frank Gore 3 yard rush (Joe Nedney kick),10,24
,2:19,Broncos,Brandon Lloyd 1 yard pass from Kyle Orton (Matt Prater kick failed),16,24
