Unnamed: 0,NYJ,IND
First Downs,30,28
Rush-Yds-TDs,21-88-0,30-260-3
Cmp-Att-Yd-TD-INT,34-52-412-4-1,22-30-272-3-0
Sacked-Yards,2-14,1-0
Net Pass Yards,398,272
Total Yards,486,532
Fumbles-Lost,1-1,2-0
Turnovers,2,0
Penalties-Yards,7-43,2-22
Third Down Conv.,8-14,5-10
Fourth Down Conv.,1-1,1-2
Time of Possession,29:33,30:27
