Quarter,Time,Tm,Detail,NYJ,IND
1.0,6:55,Colts,Nyheim Hines 34 yard rush (Michael Badgley kick),0,7
,3:32,Jets,Elijah Moore 19 yard pass from Mike White (Matt Ammendola kick),7,7
2.0,13:24,Colts,Jonathan Taylor 21 yard rush (Michael Badgley kick),7,14
,4:59,Colts,Jack Doyle 1 yard pass from Carson Wentz (Michael Badgley kick),7,21
,1:46,Jets,Matt Ammendola 33 yard field goal,10,21
,0:12,Colts,Michael Pittman Jr. 11 yard pass from Carson Wentz (Michael Badgley kick),10,28
3.0,6:54,Colts,Danny Pinter 2 yard pass from Carson Wentz (Michael Badgley kick),10,35
,6:02,Colts,Jonathan Taylor 78 yard rush (Michael Badgley kick),10,42
,3:00,Jets,Elijah Moore 19 yard pass from Josh Johnson (run failed),16,42
4.0,11:08,Jets,Ryan Griffin 13 yard pass from Josh Johnson (Matt Ammendola kick),23,42
,8:01,Colts,Michael Badgley 39 yard field goal,23,45
,3:35,Jets,Ty Johnson 22 yard pass from Josh Johnson (Matt Ammendola kick),30,45
