Quarter,Time,Down,ToGo,Location,PHI,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,NOR 30,0,0,"Martin Gramatica kicks off 67 yards, returned by J.R. Reed for 24 yards (tackle by Roman Harper)",0.000,0.740
1,14:54,1,10,PHI 27,0,0,Brian Westbrook right end for 3 yards (tackle by Charles Grant),0.740,0.600
1,14:13,2,7,PHI 30,0,0,Donovan McNabb pass complete short right to Brent Celek for 6 yards (tackle by Scott Shanle),0.600,0.700
1,13:33,3,1,PHI 36,6,0,"Donovan McNabb left end for 40 yards (tackle by Josh Bullocks). Donovan McNabb fumbles (forced by Josh Bullocks), recovered by Kevin Curtis at NOR-0, touchdown",0.700,7.000
1,,,,NOR 2,7,0,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,7,0,"David Akers kicks off 62 yards, returned by Pierre Thomas for 26 yards (tackle by Pago Togafau)",0.000,1.200
1,13:07,1,10,NOR 34,7,0,Drew Brees pass complete deep right to Devery Henderson for 52 yards (tackle by Lito Sheppard),1.200,4.650
1,12:24,1,10,PHI 14,7,0,Drew Brees pass complete short right to Marques Colston for 7 yards (tackle by Brian Dawkins),4.650,5.280
1,11:48,2,3,PHI 7,7,0,Drew Brees pass complete short left to Aaron Stecker for 4 yards (tackle by Quintin Mikell),5.280,6.510
1,11:12,1,3,PHI 3,7,6,"Aaron Stecker right guard for 3 yards, touchdown",6.510,7.000
1,,,,PHI 2,7,7,Martin Gramatica kicks extra point good,0.000,0.000
1,,,,NOR 30,7,7,"Martin Gramatica kicks off 67 yards, returned by J.R. Reed for 25 yards (tackle by Matt McCoy)",0.000,0.810
1,11:02,1,10,PHI 28,7,7,Donovan McNabb pass incomplete short right intended for Michael Gasperson,0.810,0.260
1,10:58,2,10,PHI 28,7,7,"Donovan McNabb for no gain. Donovan McNabb fumbles, recovered by Will Smith at PHI-33 (tackle by Jon Runyan)",0.260,-3.380
1,10:52,1,10,PHI 33,7,7,Drew Brees pass complete short left to Aaron Stecker for 26 yards (tackle by Akeem Jordan),3.380,5.600
1,10:23,1,7,PHI 7,7,7,Drew Brees pass complete short left to Marques Colston for -2 yards (tackle by Pago Togafau),5.600,4.380
1,9:55,2,9,PHI 9,7,7,"Aaron Stecker left tackle for 1 yard (tackle by Trent Cole). Penalty on Mike Patterson: Defensive Holding, 4 yards",4.380,6.280
1,9:35,1,4,PHI 4,7,7,Aaron Stecker left guard for 3 yards (tackle by Trent Cole and Akeem Jordan),6.280,5.910
1,8:56,2,1,PHI 1,7,13,"Aaron Stecker left tackle for 1 yard, touchdown",5.910,7.000
1,,,,PHI 2,7,14,Martin Gramatica kicks extra point good,0.000,0.000
1,,,,NOR 30,7,14,"Martin Gramatica kicks off 64 yards, returned by J.R. Reed for 31 yards (tackle by Usama Young)",0.000,1.400
1,8:46,1,10,PHI 37,7,14,Donovan McNabb pass incomplete short right intended for Greg Lewis,1.400,0.860
1,8:39,2,10,PHI 37,7,14,Brian Westbrook left guard for 3 yards (tackle by Charles Grant),0.860,0.560
1,7:56,3,7,PHI 40,7,14,"Donovan McNabb pass incomplete short left intended for Kevin Curtis. Penalty on Jason David: Illegal Contact, 5 yards (no play)",0.560,1.930
1,7:49,1,10,PHI 45,7,14,Reggie Brown right end for 10 yards (tackle by Usama Young),1.930,2.590
1,7:19,1,10,NOR 45,7,14,Brian Westbrook right tackle for 6 yards (tackle by Mark Simoneau and Scott Shanle),2.590,2.850
1,6:37,2,4,NOR 39,7,14,Donovan McNabb pass complete short middle to Kevin Curtis for 19 yards (tackle by Jason Craft),2.850,4.240
1,5:54,1,10,NOR 20,13,14,"Correll Buckhalter right guard for 20 yards, touchdown",4.240,7.000
1,,,,NOR 2,14,14,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,14,14,"David Akers kicks off 64 yards, returned by Pierre Thomas for 24 yards (tackle by Pago Togafau)",0.000,0.940
1,5:40,1,10,NOR 30,14,14,Drew Brees pass complete short left to Marques Colston for 11 yards (tackle by Sheldon Brown),0.940,1.660
1,5:02,1,10,NOR 41,14,14,Aaron Stecker left tackle for 5 yards (tackle by Juqua Parker and Quintin Mikell),1.660,1.800
1,4:25,2,5,NOR 46,14,14,Drew Brees pass incomplete short middle intended for Billy Miller,1.800,1.090
1,4:21,3,5,NOR 46,14,14,Drew Brees pass incomplete short middle intended for Billy Miller,1.090,-0.320
1,4:14,4,5,NOR 46,14,14,"Steve Weatherford punts 39 yards, returned by Reno Mahe for no gain",-0.320,0.220
1,4:04,1,10,PHI 15,14,14,Donovan McNabb pass complete short right to Brent Celek for 29 yards (tackle by Scott Fujita),-0.220,1.860
1,3:12,1,10,PHI 44,14,14,Brian Westbrook right guard for 4 yards (tackle by Will Smith),1.860,1.860
1,2:26,2,6,PHI 48,14,14,Brian Westbrook for 21 yards (tackle by Mark Simoneau),1.860,3.510
1,1:58,,,,14,14,Timeout #1 by Philadelphia Eagles,0.000,3.510
1,1:58,1,10,NOR 31,20,14,"Donovan McNabb pass complete deep right to Reggie Brown for 31 yards, touchdown",3.510,7.000
1,,,,NOR 2,21,14,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,21,14,"David Akers kicks off 65 yards, returned by Terrance Copper for 25 yards (tackle by Akeem Jordan)",0.000,0.940
1,1:46,1,10,NOR 30,21,14,Drew Brees pass complete short left to David Patten for 16 yards (tackle by Sheldon Brown),0.940,1.990
1,1:06,1,10,NOR 46,21,14,Drew Brees pass incomplete short middle intended for Billy Miller (defended by Omar Gaither),1.990,1.450
1,1:02,2,10,NOR 46,21,14,Pierre Thomas right tackle for -1 yards (tackle by Brodrick Bunkley and Juqua Parker),1.450,0.630
