Unnamed: 0,PHI,NOR
First Downs,24,22
Rush-Yds-TDs,28-184-1,21-70-2
Cmp-Att-Yd-TD-INT,24-35-263-3-0,27-42-284-0-1
Sacked-Yards,3-12,1-8
Net Pass Yards,251,276
Total Yards,435,346
Fumbles-Lost,3-1,0-0
Turnovers,1,1
Penalties-Yards,4-29,6-64
Third Down Conv.,8-13,3-12
Fourth Down Conv.,0-1,1-2
Time of Possession,31:48,28:12
