Quarter,Time,Tm,Detail,PHI,NOR
1.0,13:15,Eagles,Kevin Curtis offensive fumble recovery in end zone (David Akers kick),7,0
,11:07,Saints,Aaron Stecker 3 yard rush (Martin Gramatica kick),7,7
,8:52,Saints,Aaron Stecker 1 yard rush (Martin Gramatica kick),7,14
,5:47,Eagles,Correll Buckhalter 20 yard rush (David Akers kick),14,14
,1:51,Eagles,Reggie Brown 31 yard pass from Donovan McNabb (David Akers kick),21,14
2.0,9:28,Eagles,David Akers 24 yard field goal,24,14
,0:00,Saints,Martin Gramatica 55 yard field goal,24,17
3.0,2:55,Eagles,Greg Lewis 9 yard pass from Donovan McNabb (David Akers kick),31,17
4.0,13:03,Saints,Martin Gramatica 35 yard field goal,31,20
,7:19,Saints,Martin Gramatica 46 yard field goal,31,23
,2:28,Eagles,Kevin Curtis 7 yard pass from Donovan McNabb (David Akers kick),38,23
