Unnamed: 0,DEN,SDG
First Downs,22,20
Rush-Yds-TDs,22-84-0,35-131-1
Cmp-Att-Yd-TD-INT,25-36-330-4-0,19-29-218-1-0
Sacked-Yards,2-17,4-20
Net Pass Yards,313,198
Total Yards,397,329
Fumbles-Lost,2-1,1-0
Turnovers,1,0
Penalties-Yards,3-28,6-40
Third Down Conv.,3-8,7-16
Fourth Down Conv.,0-0,1-1
Time of Possession,21:57,38:03
