Unnamed: 0,BAL,CLE
First Downs,18,21
Rush-Yds-TDs,34-201-0,17-62-0
Cmp-Att-Yd-TD-INT,19-30-208-2-0,29-49-396-3-4
Sacked-Yards,0-0,2-25
Net Pass Yards,208,371
Total Yards,409,433
Fumbles-Lost,1-1,3-1
Turnovers,1,5
Penalties-Yards,7-65,9-117
Third Down Conv.,6-15,7-15
Fourth Down Conv.,0-0,2-2
Time of Possession,30:51,29:09
