Unnamed: 0,DEN,JAX
First Downs,24,13
Rush-Yds-TDs,44-188-0,11-12-0
Cmp-Att-Yd-TD-INT,19-26-136-2-0,20-34-240-1-2
Sacked-Yards,3-18,2-11
Net Pass Yards,118,229
Total Yards,306,241
Fumbles-Lost,0-0,4-2
Turnovers,0,4
Penalties-Yards,5-30,15-119
Third Down Conv.,5-15,3-9
Fourth Down Conv.,2-2,0-0
Time of Possession,38:05,21:55
