Quarter,Time,Tm,Detail,DEN,JAX
2.0,6:48,Broncos,Dwayne Carswell 2 yard pass from Jake Plummer (Jason Elam kick),7,0
,0:43,Broncos,Dwayne Carswell 1 yard pass from Jake Plummer (Jason Elam kick),14,0
3.0,8:52,Jaguars,Jimmy Smith 45 yard pass from Byron Leftwich (Josh Scobee kick),14,7
4.0,8:48,Broncos,Jason Elam 33 yard field goal,17,7
,2:42,Broncos,Jason Elam 42 yard field goal,20,7
