Quarter,Time,Tm,Detail,HOU,TEN
1,6:57,Titans,Anthony Firkser 7 yard pass from Ryan Tannehill (Stephen Gostkowski kick),0,7
,0:12,Titans,A.J. Brown 6 yard pass from Ryan Tannehill (Stephen Gostkowski kick),0,14
2,8:56,Texans,Darren Fells 1 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,14
,3:34,Titans,Adam Humphries 22 yard pass from Ryan Tannehill (Stephen Gostkowski kick),7,21
,0:00,Texans,Ka'imi Fairbairn 38 yard field goal,10,21
3,6:15,Texans,David Johnson 1 yard rush (Ka'imi Fairbairn kick),17,21
,4:35,Texans,Randall Cobb 4 yard pass from Deshaun Watson (Ka'imi Fairbairn kick failed),23,21
4,9:23,Titans,Derrick Henry 94 yard rush (Nick Westbrook-Ikhine pass from Ryan Tannehill),23,29
,8:37,Texans,Will Fuller 53 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),30,29
,1:50,Texans,Brandin Cooks 1 yard pass from Deshaun Watson (pass failed),36,29
,0:04,Titans,A.J. Brown 7 yard pass from Ryan Tannehill (Stephen Gostkowski kick),36,36
OT,6:30,Titans,Derrick Henry 5 yard rush,36,42
