Quarter,Time,Tm,Detail,JAX,CIN
1.0,1:28,Jaguars,James Robinson 6 yard rush (Matthew Wright kick),7,0
2.0,4:45,Jaguars,Trevor Lawrence 7 yard rush (Matthew Wright kick),14,0
3.0,13:12,Bengals,C.J. Uzomah 22 yard pass from Joe Burrow (Evan McPherson kick),14,7
,5:10,Bengals,Joe Mixon 1 yard rush (Evan McPherson kick),14,14
4.0,14:27,Jaguars,James Robinson 4 yard rush (Matthew Wright kick),21,14
,8:59,Bengals,C.J. Uzomah 31 yard pass from Joe Burrow (Evan McPherson kick),21,21
,0:00,Bengals,Evan McPherson 35 yard field goal,21,24
