Unnamed: 0,JAX,CIN
First Downs,21,21
Rush-Yds-TDs,30-139-3,22-78-1
Cmp-Att-Yd-TD-INT,17-24-204-0-0,25-32-348-2-0
Sacked-Yards,1-2,1-6
Net Pass Yards,202,342
Total Yards,341,420
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,2-10,6-38
Third Down Conv.,6-12,5-9
Fourth Down Conv.,1-2,0-0
Time of Possession,28:45,31:15
